;;;;;;;INDICE;;
;;;;;;;;;
;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;
TABLA 14. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;
CAFÉ (Grano Oro);;;;;;;;;
;;;;;;;;;
REGIÓN Y PROVINCIA;;SUPERFICIE (Has.);;"PRODUCCIÓN 
(Tm.)";"VENTAS 
(Tm.)";;;;
;;Plantada;Cosechada;;;;;;
;;;;;;;;;
TOTAL NACIONAL;; 79.744 ; 44.027 ; 5.297 ; 4.841 ;;;;
;;;;;;;;;
REGIÓN SIERRA;; 13.042 ; 8.003 ; 991 ; 775 ;;;;
REGIÓN COSTA;; 44.946 ; 22.717 ; 1.790 ; 1.660 ;;;;
REGIÓN ORIENTAL;; 21.649 ; 13.200 ; 2.512 ; 2.402 ;;;;
ZONAS NO DELIMITADAS;; 107 ; 107 ; 5 ; 5 ;;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
;;;;;;;;;
AZUAY;Solo; 181 ; 123 ; 13 ; 13 ;;;;
;Asociado; 160 ; 48 ; 6 ; . ;;;;
BOLÍVAR;Solo; 35 ; 26 ; 3 ; 3 ;;;;
;Asociado; 536 ; 265 ; 11 ; 11 ;;;;
CAÑAR;Solo; 75 ; 39 ; 1 ; 1 ;;;;
;Asociado; . ; . ; . ; . ;;;;
CARCHI;Solo; 217 ; 164 ; 74 ; 74 ;;;;
;Asociado; . ; . ; . ; . ;;;;
COTOPAXI;Solo; 93 ; 72 ; 16 ; 16 ;;;;
;Asociado; 568 ; 568 ; 232 ; 232 ;;;;
CHIMBORAZO;Solo; . ; . ; . ; . ;;;;
;Asociado; 6 ; 6 ; 1 ; . ;;;;
IMBABURA;Solo; 110 ; 85 ; 65 ; 65 ;;;;
;Asociado; 97 ; 70 ; 36 ; 31 ;;;;
LOJA;Solo; 5.347 ; 2.967 ; 183 ; 58 ;;;;
;Asociado; 3.034 ; 2.245 ; 175 ; 106 ;;;;
PICHINCHA;Solo; 344 ; 40 ; 39 ; 26 ;;;;
;Asociado; 800 ; 554 ; 39 ; 39 ;;;;
TUNGURAHUA;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 696 ; 368 ; 74 ; 74 ;;;;
;Asociado; 743 ; 362 ; 24 ; 24 ;;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
;;;;;;;;;
EL ORO;Solo; 67 ; 29 ; 2 ; 1 ;;;;
;Asociado; 44 ; 13 ; 0 ; 0 ;;;;
ESMERALDAS;Solo; . ; . ; . ; . ;;;;
;Asociado; 78 ; 78 ; 3 ; 2 ;;;;
GUAYAS;Solo; 593 ; 278 ; 61 ; 59 ;;;;
;Asociado; 185 ; 169 ; 29 ; 25 ;;;;
LOS RÍOS;Solo; 598 ; 429 ; 71 ; 69 ;;;;
;Asociado; 1.341 ; 667 ; 74 ; 71 ;;;;
MANABÍ;Solo; 35.215 ; 16.839 ; 1.013 ; 906 ;;;;
;Asociado; 6.730 ; 4.217 ; 538 ; 528 ;;;;
SANTA ELENA;Solo; . ; . ; . ; . ;;;;
;Asociado; 95 ; . ; . ; . ;;;;
;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;
;;;;;;;;;
MORONA SANTIAGO;Solo; 536 ; 12 ; 4 ; 4 ;;;;
;Asociado; 283 ; 29 ; 1 ; 1 ;;;;
NAPO;Solo; 413 ; 331 ; 15 ; 15 ;;;;
;Asociado; 149 ; 30 ; 2 ; 2 ;;;;
ORELLANA;Solo; 6.535 ; 3.920 ; 855 ; 855 ;;;;
;Asociado; 2.126 ; 354 ; 38 ; 38 ;;;;
PASTAZA;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
SUCUMBÍOS;Solo; 8.456 ; 5.947 ; 976 ; 870 ;;;;
;Asociado; 2.229 ; 1.946 ; 249 ; 245 ;;;;
ZAMORA CHINCHIPE;Solo; 838 ; 552 ; 368 ; 368 ;;;;
;Asociado; 83 ; 79 ; 3 ; 3 ;;;;
ZONAS NO DELIMITADAS;Solo; 5 ; 5 ; 3 ; 3 ;;;;
;Asociado; 102 ; 102 ; 2 ; 2 ;;;;
;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;
