;;;;;;;INDICE;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;;;;
TABLA 20. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;;
PALMA AFRICANA (Fruta fresca);;;;;;;;;;;;
;;;;;;;;;;;;
REGIÓN Y PROVINCIA;;SUPERFICIE (Has.);;"PRODUCCIÓN 
(Tm.)";"VENTAS 
(Tm.)";;;;;;;
;;Plantada;Cosechada;;;;;;;;;
;;;;;;;;;;;;
TOTAL NACIONAL;; 369.406 ; 290.343 ; 4.175.659 ; 3.755.115 ;;;;;;;
;;;;;;;;;;;;
REGIÓN SIERRA;; 40.239 ; 35.514 ; 374.405 ; 374.405 ;;;;;;;
REGIÓN COSTA;; 269.477 ; 206.449 ; 2.993.695 ; 2.993.677 ;;;;;;;
REGIÓN ORIENTAL;; 45.068 ; 36.787 ; 712.755 ; 292.230 ;;;;;;;
ZONAS NO DELIMITADAS;; 14.622 ; 11.593 ; 94.803 ; 94.803 ;;;;;;;
;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;
;;;;;;;;;;;;
AZUAY;Solo; . ; . ; . ; . ;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;
BOLÍVAR;Solo; 1.172 ; 724 ; 7.858 ; 7.858 ;;;;;;;
;Asociado; 83 ; . ; . ; . ;;;;;;;
CAÑAR;Solo; . ; . ; . ; . ;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;
CARCHI;Solo; . ; . ; . ; . ;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;
COTOPAXI;Solo; 2.156 ; 1.509 ; 1.372 ; 1.372 ;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;
CHIMBORAZO;Solo; . ; . ; . ; . ;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;
IMBABURA;Solo; . ; . ; . ; . ;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;
LOJA;Solo; . ; . ; . ; . ;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;
PICHINCHA;Solo; 5.584 ; 5.056 ; 38.193 ; 38.193 ;;;;;;;
;Asociado; 168 ; 138 ; 364 ; 364 ;;;;;;;
TUNGURAHUA;Solo; . ; . ; . ; . ;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 26.422 ; 24.422 ; 276.716 ; 276.716 ;;;;;;;
;Asociado; 4.654 ; 3.665 ; 49.902 ; 49.902 ;;;;;;;
;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;
;;;;;;;;;;;;
EL ORO;Solo; . ; . ; . ; . ;;;;;;;
;Asociado; 208 ; . ; . ; . ;;;;;;;
ESMERALDAS;Solo; 202.870 ; 158.551 ; 2.349.873 ; 2.349.855 ;;;;;;;
;Asociado; 3.378 ; 2.244 ; 27.977 ; 27.977 ;;;;;;;
GUAYAS;Solo; 18.069 ; 10.850 ; 117.577 ; 117.577 ;;;;;;;
;Asociado; 86 ; . ; . ; . ;;;;;;;
LOS RÍOS;Solo; 32.513 ; 26.913 ; 411.444 ; 411.444 ;;;;;;;
;Asociado; 1.134 ; 265 ; 1.417 ; 1.417 ;;;;;;;
MANABÍ;Solo; 10.568 ; 7.092 ; 82.686 ; 82.686 ;;;;;;;
;Asociado; 651 ; 534 ; 2.720 ; 2.720 ;;;;;;;
SANTA ELENA;Solo; . ; . ; . ; . ;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;
;;;;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;;;;
;;;;;;;;;;;;
MORONA SANTIAGO;Solo; . ; . ; . ; . ;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;
NAPO;Solo; . ; . ; . ; . ;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;
ORELLANA;Solo; 13.423 ; 9.589 ; 137.053 ; 137.039 ;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;
PASTAZA;Solo; . ; . ; . ; . ;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;
SUCUMBÍOS;Solo; 31.524 ; 27.198 ; 575.702 ; 155.191 ;;;;;;;
;Asociado; 121 ; . ; . ; . ;;;;;;;
ZAMORA CHINCHIPE;Solo; . ; . ; . ; . ;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;
ZONAS NO DELIMITADAS;Solo; 10.821 ; 9.987 ; 88.861 ; 88.861 ;;;;;;;
;Asociado; 3.801 ; 1.606 ; 5.943 ; 5.943 ;;;;;;;
;;;;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
