;;;;;;;INDICE
;;;;;;;
;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;
TABLA 26. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;
ARVEJA SECA (Grano seco);;;;;;;
;;;;;;;
REGIÓN Y PROVINCIA;;SUPERFICIE (Has.);;"PRODUCCIÓN 
(Tm.)";"VENTAS 
(Tm.)";;
;;Sembrada;Cosechada;;;;
;;;;;;;
TOTAL NACIONAL;; 1.959 ; 1.528 ; 580 ; 176 ;;
;;;;;;;
REGIÓN SIERRA;; 1.940 ; 1.510 ; 578 ; 176 ;;
REGIÓN COSTA;; 18 ; 18 ; 2 ; . ;;
REGIÓN ORIENTAL;; . ; . ; . ; . ;;
ZONAS NO DELIMITADAS;; . ; . ; . ; . ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
;;;;;;;
AZUAY;Solo; 22 ; 20 ; 11 ; . ;;
;Asociado; 89 ; 63 ; 21 ; 0 ;;
BOLÍVAR;Solo; 255 ; 186 ; 85 ; 10 ;;
;Asociado; 2 ; 1 ; 0 ; . ;;
CAÑAR;Solo; 74 ; 59 ; 11 ; 10 ;;
;Asociado; 46 ; 41 ; 14 ; 13 ;;
CARCHI;Solo; 409 ; 308 ; 183 ; 87 ;;
;Asociado; . ; . ; . ; . ;;
COTOPAXI;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
CHIMBORAZO;Solo; 284 ; 222 ; 58 ; 5 ;;
;Asociado; 17 ; 14 ; 3 ; . ;;
IMBABURA;Solo; 437 ; 413 ; 133 ; 15 ;;
;Asociado; 168 ; 82 ; 29 ; 22 ;;
LOJA;Solo; 49 ; 46 ; 11 ; . ;;
;Asociado; 8 ; 8 ; 2 ; . ;;
PICHINCHA;Solo; 19 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
TUNGURAHUA;Solo; 8 ; 8 ; 7 ; 6 ;;
;Asociado; 54 ; 36 ; 11 ; 6 ;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
;;;;;;;
REGIÓN COSTA;;;;;;;
;;;;;;;
EL ORO;Solo; 18 ; 18 ; 2 ; . ;;
;Asociado; . ; . ; . ; . ;;
ESMERALDAS;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
GUAYAS;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
LOS RÍOS;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
MANABÍ;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
SANTA ELENA;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
;;;;;;;
REGIÓN ORIENTAL;;;;;;;
;;;;;;;
MORONA SANTIAGO;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
NAPO;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
ORELLANA;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
PASTAZA;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
SUCUMBÍOS;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
ZAMORA CHINCHIPE;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
ZONAS NO DELIMITADAS;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
;;;;;;;
Fuente: INEC 2015;;;;;;;
