;;;;;;;INDICE;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;;;;;
TABLA 36. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;;;
MAÍZ SUAVE CHOCLO (En choclo);;;;;;;;;;;;;
;;;;;;;;;;;;;
REGIÓN Y PROVINCIA;;SUPERFICIE (Has.);;"PRODUCCIÓN 
(Tm.)";"VENTAS 
(Tm.)";;;;;;;;
;;Sembrada;Cosechada;;;;;;;;;;
;;;;;;;;;;;;;
TOTAL NACIONAL;; 69.416 ; 62.120 ; 112.097 ; 91.175 ;;;;;;;;
;;;;;;;;;;;;;
REGIÓN SIERRA;; 68.892 ; 61.725 ; 111.401 ; 90.842 ;;;;;;;;
REGIÓN COSTA;; 403 ; 377 ; 683 ; 332 ;;;;;;;;
REGIÓN ORIENTAL;; 121 ; 18 ; 14 ; . ;;;;;;;;
ZONAS NO DELIMITADAS;; . ; . ; . ; . ;;;;;;;;
;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;
;;;;;;;;;;;;;
AZUAY;Solo; 623 ; 516 ; 708 ; 313 ;;;;;;;;
;Asociado; 5.807 ; 4.732 ; 5.207 ; 568 ;;;;;;;;
BOLÍVAR;Solo; 10.791 ; 9.139 ; 25.443 ; 24.574 ;;;;;;;;
;Asociado; 303 ; 192 ; 289 ; 10 ;;;;;;;;
CAÑAR;Solo; 334 ; 289 ; 249 ; 75 ;;;;;;;;
;Asociado; 2.373 ; 1.991 ; 1.626 ; 496 ;;;;;;;;
CARCHI;Solo; 334 ; 103 ; 97 ; 88 ;;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;;
COTOPAXI;Solo; 2.374 ; 1.889 ; 4.893 ; 3.914 ;;;;;;;;
;Asociado; 2.804 ; 2.161 ; 1.576 ; 699 ;;;;;;;;
CHIMBORAZO;Solo; 2.978 ; 2.123 ; 5.646 ; 4.966 ;;;;;;;;
;Asociado; 1.595 ; 1.464 ; 2.286 ; 1.718 ;;;;;;;;
IMBABURA;Solo; 2.149 ; 1.806 ; 5.344 ; 4.730 ;;;;;;;;
;Asociado; 284 ; 204 ; 307 ; 57 ;;;;;;;;
LOJA;Solo; 2.578 ; 2.576 ; 3.104 ; 1.226 ;;;;;;;;
;Asociado; 3.555 ; 3.163 ; 2.863 ; 714 ;;;;;;;;
PICHINCHA;Solo; 26.153 ; 25.742 ; 42.461 ; 39.233 ;;;;;;;;
;Asociado; 198 ; 172 ; 170 ; 31 ;;;;;;;;
TUNGURAHUA;Solo; 3.543 ; 3.358 ; 8.911 ; 7.324 ;;;;;;;;
;Asociado; 115 ; 102 ; 219 ; 104 ;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; . ; . ; . ; . ;;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;;
;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;
;;;;;;;;;;;;;
EL ORO;Solo; 18 ; 18 ; 29 ; . ;;;;;;;;
;Asociado; 217 ; 217 ; 206 ; . ;;;;;;;;
ESMERALDAS;Solo; 16 ; 16 ; 13 ; . ;;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;;
GUAYAS;Solo; 143 ; 117 ; 425 ; 332 ;;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;;
LOS RÍOS;Solo; . ; . ; . ; . ;;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;;
MANABÍ;Solo; 9 ; 9 ; 9 ; . ;;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;;
SANTA ELENA;Solo; . ; . ; . ; . ;;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;;
;;;;;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;;;;;
;;;;;;;;;;;;;
MORONA SANTIAGO;Solo; . ; . ; . ; . ;;;;;;;;
;Asociado; 121 ; 18 ; 14 ; . ;;;;;;;;
NAPO;Solo; . ; . ; . ; . ;;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;;
ORELLANA;Solo; . ; . ; . ; . ;;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;;
PASTAZA;Solo; . ; . ; . ; . ;;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;;
SUCUMBÍOS;Solo; . ; . ; . ; . ;;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;;
ZAMORA CHINCHIPE;Solo; . ; . ; . ; . ;;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;;
ZONAS NO DELIMITADAS;Solo; . ; . ; . ; . ;;;;;;;;
;Asociado; . ; . ; . ; . ;;;;;;;;
;;;;;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;;;;;
