;;;;;;;INDICE;
;;;;;;;;
;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;
TABLA 38. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;
PAPA (Tubérculo fresco);;;;;;;;
;;;;;;;;
REGIÓN Y PROVINCIA;;SUPERFICIE (Has.);;"PRODUCCIÓN 
(Tm.)";"VENTAS 
(Tm.)";;;
;;Sembrada;Cosechada;;;;;
;;;;;;;;
TOTAL NACIONAL;; 32.037 ; 29.703 ; 397.521 ; 341.849 ;;;
;;;;;;;;
REGIÓN SIERRA;; 31.815 ; 29.482 ; 396.478 ; 341.062 ;;;
REGIÓN COSTA;; 188 ; 188 ; 582 ; 373 ;;;
REGIÓN ORIENTAL;; 34 ; 34 ; 461 ; 414 ;;;
ZONAS NO DELIMITADAS;; . ; . ; . ; . ;;;
;;;;;;;;
REGIÓN SIERRA;;;;;;;;
;;;;;;;;
AZUAY;Solo; 1.146 ; 943 ; 6.265 ; 5.057 ;;;
;Asociado; 77 ; 49 ; 343 ; 145 ;;;
BOLÍVAR;Solo; 1.733 ; 1.353 ; 6.881 ; 5.362 ;;;
;Asociado; . ; . ; . ; . ;;;
CAÑAR;Solo; 4.166 ; 4.076 ; 21.063 ; 19.205 ;;;
;Asociado; 24 ; 24 ; 207 ; 202 ;;;
CARCHI;Solo; 6.846 ; 6.625 ; 143.781 ; 129.470 ;;;
;Asociado; 144 ; 122 ; 1.245 ; 1.138 ;;;
COTOPAXI;Solo; 4.901 ; 4.669 ; 45.670 ; 36.400 ;;;
;Asociado; 83 ; 70 ; 263 ; 143 ;;;
CHIMBORAZO;Solo; 4.386 ; 3.867 ; 43.131 ; 34.862 ;;;
;Asociado; 72 ; 72 ; 961 ; 813 ;;;
IMBABURA;Solo; 1.214 ; 1.102 ; 25.556 ; 21.940 ;;;
;Asociado; 41 ; 25 ; 94 ; 6 ;;;
LOJA;Solo; 649 ; 648 ; 2.211 ; 198 ;;;
;Asociado; 9 ; 6 ; 20 ; 3 ;;;
PICHINCHA;Solo; 2.794 ; 2.424 ; 35.453 ; 29.827 ;;;
;Asociado; 3 ; 3 ; 4 ; . ;;;
TUNGURAHUA;Solo; 3.433 ; 3.310 ; 62.472 ; 55.491 ;;;
;Asociado; 95 ; 92 ; 856 ; 802 ;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
;;;;;;;;
REGIÓN COSTA;;;;;;;;
;;;;;;;;
EL ORO;Solo; 188 ; 188 ; 582 ; 373 ;;;
;Asociado; . ; . ; . ; . ;;;
ESMERALDAS;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
GUAYAS;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
LOS RÍOS;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
MANABÍ;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
SANTA ELENA;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;
;;;;;;;;
MORONA SANTIAGO;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
NAPO;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
ORELLANA;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
PASTAZA;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
SUCUMBÍOS;Solo; 34 ; 34 ; 461 ; 414 ;;;
;Asociado; . ; . ; . ; . ;;;
ZAMORA CHINCHIPE;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
ZONAS NO DELIMITADAS;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
;;;;;;;;
Fuente: INEC 2015;;;;;;;;
