;;;;;;;;;;;;;;INDICE
;;;;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;;;;;;
TABLA 56. DESTINO DE LAS AVES CRIADAS EN PLANTELES AVÍCOLAS POR ESPECIES, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
REGIÓN Y PROVINCIA;AVES CRIADAS EN PLANTELES AVÍCOLAS;;;;;;;;;;;;;
;GALLINAS PONEDORAS;;GALLINAS REPRODUCTORAS;;POLLITOS, POLLITAS, POLLOS, POLLAS;;AVESTRUCES;;PAVOS;;CODORNICES;;;
;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;;
;;;;;;;;;;;;;;
TOTAL NACIONAL;1.477.146;671;1.382.403;34;41.316.478;12.194;0;0;228.677;0;27.685;0;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;1.341.580;606;1.163.934;0;21.270.850;10.744;0;0;182.442;0;26.750;0;;
REGIÓN COSTA;135.566;65;208.469;34;19.341.061;1.231;0;0;46.235;0;935;0;;
REGIÓN ORIENTAL;0;0;10.000;0;694.067;216;0;0;0;0;0;0;;
ZONAS NO DELIMITADAS;.;.;.;.;10.500;3;.;.;.;.;.;.;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
AZUAY;793;79;5.634;0;121.216;464;0;0;0;0;0;0;;
BOLÍVAR;.;.;.;.;183.285;1.644;.;.;.;.;.;.;;
CAÑAR;.;.;.;.;409.370;89;.;.;.;.;.;.;;
CARCHI;.;.;.;.;788.290;350;.;.;31.000;.;.;.;;
COTOPAXI;573.503;.;.;.;192.262;570;.;.;.;.;.;.;;
CHIMBORAZO;55.652;9;83.000;.;2.062.033;174;.;.;.;.;.;.;;
IMBABURA;.;.;671.500;.;1.504.182;215;0;.;21.942;.;.;.;;
LOJA;0;0;0;0;440.149;49;0;0;0;0;0;0;;
PICHINCHA;161.463;.;397.000;.;4.377.406;1.357;.;.;80.500;.;.;0;;
TUNGURAHUA;550.078;518;6.800;0;2.721.645;707;.;.;.;.;.;.;;
SANTO DOMINGO DE LOS TSÁCHILAS;91;0;.;0;8.471.012;5.125;.;.;49.000;.;26.750;.;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
EL ORO;61.786;5;45.060;34;2.596.966;833;0;0;0;0;935;0;;
ESMERALDAS;.;.;.;.;63.980;.;.;.;.;.;.;.;;
GUAYAS;2.000;.;153.609;.;11.728.862;130;.;.;14.000;.;.;.;;
LOS RÍOS;8.600;.;8.600;.;486.100;.;.;.;.;.;.;.;;
MANABÍ;63.180;60;1.200;.;4.293.526;248;.;.;.;0;.;.;;
SANTA ELENA;.;.;.;.;171.627;20;.;.;32.235;.;.;.;;
;;;;;;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
MORONA SANTIAGO;0;0;0;0;15.600;0;0;0;0;0;0;0;;
NAPO;.;.;10.000;.;3.700;.;.;.;.;.;.;.;;
ORELLANA;.;0;.;.;5.700;0;.;.;.;.;.;.;;
PASTAZA;.;.;.;.;662.814;85;.;.;.;.;.;.;;
SUCUMBÍOS;.;.;.;.;2.378;82;.;.;.;.;.;.;;
ZAMORA CHINCHIPE;0;0;0;0;3.875;49;0;0;0;0;0;0;;
ZONAS NO DELIMITADAS;.;.;.;.;10.500;3;.;.;.;.;.;.;;
;;;;;;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;;;;;;
