;;;;;;;;;;INDICE;;;;;;;
;;;;;;;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;;;;;;;;;
TABLA 58. PRODUCCIÓN Y DESTINO DE HUEVOS DE GALLINA, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
REGIÓN Y PROVINCIA;HUEVOS DE GALLINA;;;;;;;;;;;;;;;;
;AVES CRIADAS EN CAMPO;;;;AVES CRIADAS EN PLANTELES AVÍCOLAS;;;;;;;;;;;;
;PRODUCCIÓN;DESTINO;;;PRODUCCIÓN;DESTINO;;;;;;;;;;;
;;Autoconsumo;Ventas;Otros;;Autoconsumo;Ventas;Otros;;;;;;;;;
;;;;;;;;;;;;;;;;;
TOTAL NACIONAL;3.529.180;2.893.053;335.015;301.111;60.803.761;72.992;55.474.693;5.256.076;;;;;;;;;
;;;;;;;;;;;;;;;;;
REGIÓN SIERRA;1.522.628;1.290.901;154.112;77.615;45.284.870;59.801;40.983.894;4.241.176;;;;;;;;;
REGIÓN COSTA;1.646.693;1.313.664;145.052;187.977;15.270.651;13.172;14.323.099;934.380;;;;;;;;;
REGIÓN ORIENTAL;330.790;266.159;32.469;32.161;248.240;20;167.700;80.520;;;;;;;;;
ZONAS NO DELIMITADAS;29.069;22.329;3.382;3.358;.;.;.;.;;;;;;;;;
;;;;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
AZUAY;284.142;225.100;47.539;11.503;51.960;634;34.155;17.170;;;;;;;;;
BOLÍVAR;117.065;98.852;8.449;9.764;.;.;.;.;;;;;;;;;
CAÑAR;136.535;115.117;19.399;2.019;415;15;400;.;;;;;;;;;
CARCHI;77.879;71.088;4.195;2.597;76.784;.;.;76.784;;;;;;;;;
COTOPAXI;181.947;151.279;17.416;13.251;13.795.860;42.217;13.698.444;55.200;;;;;;;;;
CHIMBORAZO;160.127;143.563;10.540;6.023;843.998;635;841.833;1.530;;;;;;;;;
IMBABURA;68.992;58.196;2.674;8.122;224.000;.;.;224.000;;;;;;;;;
LOJA;148.307;126.455;17.984;3.868;28.000;.;22.400;5.600;;;;;;;;;
PICHINCHA;135.305;131.322;1.686;2.297;7.022.344;1.064;3.323.008;3.698.272;;;;;;;;;
TUNGURAHUA;110.096;89.547;16.921;3.628;23.035.223;15.206;22.857.397;162.620;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;102.232;80.381;7.310;14.541;206.286;30;206.256;.;;;;;;;;;
;;;;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
EL ORO;44.789;38.775;5.376;638;3.060.589;9.482;2.670.947;380.160;;;;;;;;;
ESMERALDAS;131.929;114.984;7.153;9.793;210;.;210;.;;;;;;;;;
GUAYAS;349.211;275.615;41.993;31.603;1.632.120;.;1.632.120;.;;;;;;;;;
LOS RÍOS;332.106;274.553;26.288;31.265;494.550;.;40.530;454.020;;;;;;;;;
MANABÍ;785.804;606.882;64.243;114.678;10.083.182;3.690;9.979.292;100.200;;;;;;;;;
SANTA ELENA;2.855;2.855;.;.;.;.;.;.;;;;;;;;;
;;;;;;;;;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
MORONA SANTIAGO;111.215;80.597;18.200;12.418;.;.;.;.;;;;;;;;;
NAPO;19.400;16.603;996;1.801;80.000;.;.;80.000;;;;;;;;;
ORELLANA;57.518;52.285;2.818;2.415;42.000;20;41.560;420;;;;;;;;;
PASTAZA;16.875;15.879;221;775;126.000;.;125.900;100;;;;;;;;;
SUCUMBÍOS;103.370;81.474;7.522;14.375;.;.;.;.;;;;;;;;;
ZAMORA CHINCHIPE; 22.412 ; 19.322 ; 2.713 ; 377 ; 240 ; -   ; 240 ; -   ;;;;;;;;;
ZONAS NO DELIMITADAS; 29.069 ; 22.329 ; 3.382 ; 3.358 ; . ; . ; . ; . ;;;;;;;;;
;;;;;;;;;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;;;;;;;;;
