ÍNDICE;
;
TABULADOS;
;
T 1;TABLA 1. SUPERFICIE POR CATEGORÍAS DE USO DEL SUELO, SEGÚN REGIÓN Y PROVINCIA
T 2;TABLA 2. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN CULTIVOS PERMANENTES
T 3;TABLA 3. NÚMERO DE ÁRBOLES DISPERSOS COSECHADOS, PRODUCCIÓN Y VENTAS
T 4;TABLA 4. SUPERFICIE PERDIDA POR DIFERENTES CAUSAS, SEGÚN CULTIVOS PERMANENTES
T 5;TABLA 5. SUPERFICIE PLANTADA EN HECTÁREAS POR EDAD, VARIEDAD DE LA PLANTA Y PRÁCTICA DE CULTIVO, SEGÚN CULTIVOS PERMANENTES
T 6;TABLA 6. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN CULTIVOS TRANSITORIOS
T 7;TABLA 7. SUPERFICIE PERDIDA POR DIFERENTES CAUSAS, SEGÚN CULTIVOS TRANSITORIOS
T 8;TABLA 8. SUPERFICIE SEMBRADA POR TIPO DE SEMILLA UTILIZADA Y PRÁCTICA DE CULTIVO, SEGÚN CULTIVOS TRANSITORIOS
T 9;TABLA 9. SUPERFICIE, PRODUCCIÓN Y VENTAS POR CONDICIÓN DE CULTIVO, SEGÚN ESPECIES DE FLORES
T 10;TABLA 10. NÚMERO DE CABEZAS DE GANADO POR ESPECIES, SEGÚN REGIÓN Y PROVINCIA  
T 11;TABLA 11. NÚMERO DE AVES POR EXISTENCIA Y MOVIMIENTO, SEGÚN TIPO DE CRIANZA Y ESPECIES
T 12;TABLA 12. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA BANANO (Fruta fresca)
T 13;TABLA 13. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA CACAO (Almendra seca)
T 14;TABLA 14. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA CAFÉ (Grano oro)
T 15;TABLA 15. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA CAÑA DE AZÚCAR PARA AZÚCAR (Tallo fresco)
T 16;TABLA 16. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA CAÑA DE AZÚCAR PARA OTROS USOS (Tallo fresco)
T 17;TABLA 17. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA MANGO (Fruta fresca)
T 18;TABLA 18. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA MARACUYÁ (Fruta fresca)
