año 2014;;;;;
;;;;;
BANANO (Fruta fresca);;;;;
;;;;;
REGIÓN Y PROVINCIA;;SUPERFICIE (Has.);;"PRODUCCIÓN 
(Tm.)";"VENTAS 
(Tm.)"
;;Plantada;Cosechada;;
;;;;;
REGIÓN SIERRA;;;;;
;;;;;
AZUAY;Solo;419;168;976;133
;Asociado;316;303;633;479
BOLÍVAR;Solo;2.956;2.629;35.387;32.561
;Asociado;473;424;3.284;2.281
CAÑAR;Solo;5.598;4.909;110.944;110.680
;Asociado;856;856;1.477;368
CARCHI;Solo;38;38;441;.
;Asociado;.;.;.;.
COTOPAXI;Solo;2.907;2.631;36.669;34.386
;Asociado;194;71;306;269
CHIMBORAZO;Solo;431;317;774;424
;Asociado;.;.;.;.
IMBABURA;Solo;77;77;711;596
;Asociado;.;.;.;.
LOJA;Solo;1.671;947;5.975;2.010
;Asociado;1.069;703;1.788;558
PICHINCHA;Solo;409;409;374;.
;Asociado;.;.;.;.
TUNGURAHUA;Solo;.;.;.;.
;Asociado;.;.;.;.
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;2.292;2.288;79.668;77.998
;Asociado;.;.;.;.
;;;;;
REGIÓN COSTA;;;;;
;;;;;
EL ORO;Solo;32.205;31.480;1.011.428;989.125
;Asociado;1.506;988;8.953;6.528
ESMERALDAS;Solo;1.855;1.818;35.789;34.816
;Asociado;855;722;2.722;17
GUAYAS;Solo;37.774;37.350;1.684.304;1.661.300
;Asociado;74;74;2.175;2.140
LOS RÍOS;Solo;83.605;80.772;3.483.860;3.398.417
;Asociado;1.549;1.528;48.500;45.792
MANABÍ;Solo;6.394;4.751;86.688;40.720
;Asociado;2.713;2.193;11.076;3.733
SANTA ELENA;Solo;656;656;16.729;16.713
;Asociado;.;.;.;.
;;;;;
REGIÓN ORIENTAL;;;;;
;;;;;
MORONA SANTIAGO;Solo;447;375;727;444
;Asociado;347;103;218;150
NAPO;Solo;184;128;879;662
;Asociado;137;.;.;.
ORELLANA;Solo;266;175;375;282
;Asociado;.;.;.;.
PASTAZA;Solo;.;.;.;.
;Asociado;.;.;.;.
SUCUMBÍOS;Solo; . ; . ; . ; . 
;Asociado;281;192;643;29
ZAMORA CHINCHIPE;Solo;124;124;435;108
;Asociado;2;2;12;10
ZONAS NO DELIMITADAS;Solo;1.577;1.544;79.010;79.010
;Asociado;418;414;2.325;2.325
