;;;;;;;INDICE
;;;;;;;
;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;
TABLA 25. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;
ARVEJA TIERNA (En vaina);;;;;;;
;;;;;;;
REGIÓN Y PROVINCIA;;SUPERFICIE (Has.);;"PRODUCCIÓN 
(Tm.)";"VENTAS 
(Tm.)";;
;;Sembrada;Cosechada;;;;
;;;;;;;
TOTAL NACIONAL;;7.976;7.176;10.945;9.790;;
;;;;;;;
REGIÓN SIERRA;;7.976;7.176;10.945;9.790;;
REGIÓN COSTA;;.;.;.;.;;
REGIÓN ORIENTAL;;.;.;.;.;;
ZONAS NO DELIMITADAS;;.;.;.;.;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
;;;;;;;
AZUAY;Solo;208;183;158;37;;
;Asociado;220;192;169;32;;
BOLÍVAR;Solo;.;.;.;.;;
;Asociado;3;3;6;.;;
CAÑAR;Solo;507;498;837;624;;
;Asociado;210;210;76;47;;
CARCHI;Solo;3.507;3.427;6.321;6.219;;
;Asociado;.;.;.;.;;
COTOPAXI;Solo;249;216;277;262;;
;Asociado;203;187;154;19;;
CHIMBORAZO;Solo;660;481;601;571;;
;Asociado;404;404;287;245;;
IMBABURA;Solo;509;186;175;115;;
;Asociado;46;35;30;.;;
LOJA;Solo;18;18;12;.;;
;Asociado;16;16;23;.;;
PICHINCHA;Solo; 173 ; 134 ; 131 ; 69 ;;
;Asociado; 6 ; 6 ; 13 ; . ;;
TUNGURAHUA;Solo; 1.001 ; 945 ; 1.623 ; 1.503 ;;
;Asociado; 38 ; 38 ; 52 ; 47 ;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
;;;;;;;
REGIÓN COSTA;;;;;;;
;;;;;;;
EL ORO;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
ESMERALDAS;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
GUAYAS;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
LOS RÍOS;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
MANABÍ;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
SANTA ELENA;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
;;;;;;;
REGIÓN ORIENTAL;;;;;;;
;;;;;;;
MORONA SANTIAGO;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
NAPO;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
ORELLANA;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
PASTAZA;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
SUCUMBÍOS;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
ZAMORA CHINCHIPE;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
ZONAS NO DELIMITADAS;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
;;;;;;;
Fuente: INEC 2014;;;;;;;
