;;;;;;;INDICE;
;;;;;;;;
;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;
TABLA 29. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;
FRÉJOL TIERNO (En vaina);;;;;;;;
;;;;;;;;
REGIÓN Y PROVINCIA;;SUPERFICIE (Has.);;"PRODUCCIÓN 
(Tm.)";"VENTAS 
(Tm.)";;;
;;Sembrada;Cosechada;;;;;
;;;;;;;;
TOTAL NACIONAL;;19.485;17.957;17.856;14.995;;;
;;;;;;;;
REGIÓN SIERRA;;13.009;11.750;11.316;8.794;;;
REGIÓN COSTA;;6.389;6.120;6.455;6.200;;;
REGIÓN ORIENTAL;;87;87;85;.;;;
ZONAS NO DELIMITADAS;;.;.;.;.;;;
;;;;;;;;
REGIÓN SIERRA;;;;;;;;
;;;;;;;;
AZUAY;Solo;13;13;22;20;;;
;Asociado;3.271;2.848;1.457;389;;;
BOLÍVAR;Solo;416;416;502;439;;;
;Asociado;72;67;4;2;;;
CAÑAR;Solo;7;7;7;6;;;
;Asociado;1.062;938;623;172;;;
CARCHI;Solo;776;776;846;838;;;
;Asociado;1;.;.;.;;;
COTOPAXI;Solo;17;5;8;6;;;
;Asociado;1.318;1.318;533;342;;;
CHIMBORAZO;Solo;832;810;1.388;1.293;;;
;Asociado;281;281;332;289;;;
IMBABURA;Solo;2.480;2.279;3.563;3.469;;;
;Asociado;480;404;249;184;;;
LOJA;Solo;504;504;431;369;;;
;Asociado;778;431;221;.;;;
PICHINCHA;Solo; 317 ; 310 ; 662 ; 559 ;;;
;Asociado; 107 ; 73 ; 35 ; 7 ;;;
TUNGURAHUA;Solo; 109 ; 109 ; 94 ; 88 ;;;
;Asociado; 170 ; 163 ; 337 ; 321 ;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;;
;Asociado;;;;;;;
;;;;;;;;
REGIÓN COSTA;;;;;;;;
;;;;;;;;
EL ORO;Solo;0;0;0;.;;;
;Asociado;238;238;118;22;;;
ESMERALDAS;Solo;.;.;.;.;;;
;Asociado;.;.;.;.;;;
GUAYAS;Solo;.;.;.;.;;;
;Asociado;3;2;2;1;;;
LOS RÍOS;Solo;3.724;3.693;4.114;4.040;;;
;Asociado;1.887;1.800;1.879;1.861;;;
MANABÍ;Solo;282;153;217;160;;;
;Asociado;255;233;126;117;;;
SANTA ELENA;Solo;.;.;.;.;;;
;Asociado;.;.;.;.;;;
;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;
;;;;;;;;
MORONA SANTIAGO;Solo;.;.;.;.;;;
;Asociado;.;.;.;.;;;
NAPO;Solo;.;.;.;.;;;
;Asociado;.;.;.;.;;;
ORELLANA;Solo;.;.;.;.;;;
;Asociado;.;.;.;.;;;
PASTAZA;Solo;.;.;.;.;;;
;Asociado;65;65;33;.;;;
SUCUMBÍOS;Solo;;;;;;;
;Asociado;;;;;;;
ZAMORA CHINCHIPE;Solo;23;23;52;.;;;
;Asociado;.;.;.;.;;;
ZONAS NO DELIMITADAS;Solo;.;.;.;.;;;
;Asociado;.;.;.;.;;;
;;;;;;;;
Fuente: INEC 2014;;;;;;;;
