 ;;;;;INDICE
;;;;;
;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;
TABLA 3. NÚMERO DE ÁRBOLES DISPERSOS COSECHADOS, PRODUCCIÓN Y VENTAS;;;;;
;;;;;
ÁRBOLES DISPERSOS; NÚMERO DE ÁRBOLES ; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;
;;;;;
;;;;;
ACHIOTE (GRANO SECO); 19.722 ; 64 ; 5 ;;
AGUACATE (FRUTA FRESCA); 286.579 ; 22.056 ; 4.427 ;;
BANANO (FRUTA FRESCA); 2.747.418 ; 38.790 ; 5.723 ;;
CACAO (ALMENDRA SECA); 699.725 ; 1.123 ; 587 ;;
CAFÉ (GRANO ORO); 231.242 ; 68 ; 51 ;;
CLAUDIA (FRUTA FRESCA); 70.999 ; 862 ; 351 ;;
CHIRIMOYA (FRUTA FRESCA); 39.151 ; 1.793 ; 167 ;;
CIRUELO (FRUTA FRESCA); 30.477 ; 600 ; 33 ;;
COCOTERO (FRUTA FRESCA); 270.301 ; 13.406 ; 1.374 ;;
DURAZNO (FRUTA FRESCA); 42.306 ; 331 ; 55 ;;
GUABA (FRUTA FRESCA); 433.951 ; 14.597 ; 5.478 ;;
GUANABANA (FRUTA FRESCA); 84.294 ; 2.949 ; 503 ;;
GUAYABA (FRUTA FRESCA); 64.935 ; 1.138 ; 44 ;;
LIMA (FRUTA FRESCA); 19.958 ; 544 ; 182 ;;
LIMÓN (FRUTA FRESCA); 379.230 ; 12.189 ; 1.376 ;;
MANDARINA (FRUTA FRESCA); 1.181.665 ; 60.694 ; 29.732 ;;
MANGO (FRUTA FRESCA); 522.266 ; 22.446 ; 1.368 ;;
MANZANA (FRUTA FRESCA); 61.739 ; 681 ; 36 ;;
MARACUYÁ (FRUTA FRESCA); 83.256 ; 2.819 ; 2.156 ;;
NARANJA (FRUTA FRESCA); 2.151.421 ; 101.222 ; 46.040 ;;
ORITO (FRUTA FRESCA); 430.391 ; 4.512 ; 882 ;;
PAPAYA (FRUTA FRESCA); 356.469 ; 11.790 ; 1.757 ;;
PERA (FRUTA FRESCA); 25.909 ; 381 ; 188 ;;
PIÑA (FRUTA FRESCA); 30.172 ; 38 ; 6 ;;
PLÁTANO (FRUTA FRESCA); 5.886.706 ; 81.497 ; 19.390 ;;
TOMATE DE ÁRBOL (FRUTA FRESCA); 85.963 ; 915 ; 91 ;;
TORONJA (FRUTA FRESCA); 135.342 ; 7.499 ; 1.474 ;;
ZAPOTE (FRUTA FRESCA); 64.881 ; 5.290 ; 546 ;;
OTROS PERMANENTES; 338.394 ; 8.400 ; 1.481 ;;
;;;;;
Fuente: INEC 2014;;;;;
;;;;;
