;;;;;;;INDICE;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;;;;;
TABLA 34. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;;;
MAÍZ SUAVE CHOCLO (En choclo);;;;;;;;;;;;;
;;;;;;;;;;;;;
REGIÓN Y PROVINCIA;;SUPERFICIE (Has.);;"PRODUCCIÓN 
(Tm.)";"VENTAS 
(Tm.)";;;;;;;;
;;Sembrada;Cosechada;;;;;;;;;;
;;;;;;;;;;;;;
TOTAL NACIONAL;;42.226;38.642;75.059;58.035;;;;;;;;
;;;;;;;;;;;;;
REGIÓN SIERRA;;41.399;37.815;74.046;57.512;;;;;;;;
REGIÓN COSTA;;326;326;337;33;;;;;;;;
REGIÓN ORIENTAL;;501;501;676;490;;;;;;;;
ZONAS NO DELIMITADAS;;.;.;.;.;;;;;;;;
;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;
;;;;;;;;;;;;;
AZUAY;Solo;348;325;463;131;;;;;;;;
;Asociado;3.580;3.358;2.777;559;;;;;;;;
BOLÍVAR;Solo;8.616;7.926;23.230;22.165;;;;;;;;
;Asociado;554;554;1.130;933;;;;;;;;
CAÑAR;Solo;240;204;571;503;;;;;;;;
;Asociado;1.372;1.270;1.307;183;;;;;;;;
CARCHI;Solo;522;492;1.377;938;;;;;;;;
;Asociado;31;30;73;.;;;;;;;;
COTOPAXI;Solo;1.414;1.197;2.803;2.167;;;;;;;;
;Asociado;7.178;6.997;6.223;2.711;;;;;;;;
CHIMBORAZO;Solo;1.762;1.703;5.100;4.549;;;;;;;;
;Asociado;4.386;4.248;4.759;3.218;;;;;;;;
IMBABURA;Solo;3.329;2.835;6.762;5.961;;;;;;;;
;Asociado;385;291;662;430;;;;;;;;
LOJA;Solo;39;39;40;.;;;;;;;;
;Asociado;1.091;402;440;52;;;;;;;;
PICHINCHA;Solo; 2.760 ; 2.404 ; 5.324 ; 4.364 ;;;;;;;;
;Asociado; 248 ; 176 ; 350 ; 165 ;;;;;;;;
TUNGURAHUA;Solo; 2.712 ; 2.544 ; 8.936 ; 7.334 ;;;;;;;;
;Asociado; 829 ; 821 ; 1.724 ; 1.149 ;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;.;.;.;.;;;;;;;;
;Asociado;.;.;.;.;;;;;;;;
;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;
;;;;;;;;;;;;;
EL ORO;Solo;2;2;8;1;;;;;;;;
;Asociado;236;236;212;32;;;;;;;;
ESMERALDAS;Solo;6;6;5;.;;;;;;;;
;Asociado;.;.;.;.;;;;;;;;
GUAYAS;Solo;82;82;113;.;;;;;;;;
;Asociado;.;.;.;.;;;;;;;;
LOS RÍOS;Solo;.;.;.;.;;;;;;;;
;Asociado;.;.;.;.;;;;;;;;
MANABÍ;Solo;.;.;.;.;;;;;;;;
;Asociado;.;.;.;.;;;;;;;;
SANTA ELENA;Solo;.;.;.;.;;;;;;;;
;Asociado;.;.;.;.;;;;;;;;
;;;;;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;;;;;
;;;;;;;;;;;;;
MORONA SANTIAGO;Solo;.;.;.;.;;;;;;;;
;Asociado;.;.;.;.;;;;;;;;
NAPO;Solo;.;.;.;.;;;;;;;;
;Asociado;.;.;.;.;;;;;;;;
ORELLANA;Solo;.;.;.;.;;;;;;;;
;Asociado;.;.;.;.;;;;;;;;
PASTAZA;Solo;.;.;.;.;;;;;;;;
;Asociado;65;65;47;.;;;;;;;;
SUCUMBÍOS;Solo;436;436;629;490;;;;;;;;
;Asociado;.;.;.;.;;;;;;;;
ZAMORA CHINCHIPE;Solo;.;.;.;.;;;;;;;;
;Asociado;.;.;.;.;;;;;;;;
ZONAS NO DELIMITADAS;Solo;.;.;.;.;;;;;;;;
;Asociado;.;.;.;.;;;;;;;;
;;;;;;;;;;;;;
Fuente: INEC 2014;;;;;;;;;;;;;
