;;;;;;;;;;;;INDICE
;;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;;;;
TABLA 41. NÚMERO DE CABEZAS DE GANADO VACUNO, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;;
;;;;;;;;;;;;
REGIÓN Y PROVINCIA;TOTAL;GANADO VACUNO;;;;;;;;;;
;;Subtotal;MACHOS;;;Subtotal;HEMBRAS;;;TOTAL NACIDOS (Machos y hembras);;
;;;;;;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros);;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;
;;;;;;;;;;;;
;;;;;;;;;;;;
TOTAL NACIONAL;4.579.374;1.426.087;570.827;551.640;303.620;3.153.287;553.114;833.755;1.766.419;928.439;;
;;;;;;;;;;;;
REGIÓN SIERRA; 2.345.101 ; 762.852 ; 314.852 ; 268.382 ; 179.617 ; 1.582.250 ; 286.293 ; 342.684 ; 953.272 ;507.556;;
REGIÓN COSTA; 1.795.817 ; 504.376 ; 202.025 ; 218.403 ; 83.947 ; 1.291.441 ; 216.128 ; 408.747 ; 666.566 ; 328.645 ;;
REGIÓN ORIENTAL; 418.853 ; 152.950 ; 50.906 ; 63.112 ; 38.933 ; 265.902 ; 48.627 ; 77.976 ; 139.300 ; 88.462 ;;
ZONAS NO DELIMITADAS; 19.604 ; 5.909 ; 3.043 ; 1.743 ; 1.123 ; 13.694 ; 2.066 ; 4.347 ; 7.281 ; 3.775 ;;
;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;
;;;;;;;;;;;;
AZUAY; 578.615 ; 183.459 ; 111.255 ; 32.303 ; 39.901 ; 395.157 ; 44.749 ; 64.162 ; 286.245 ; 77.843 ;;
BOLÍVAR; 137.591 ; 46.775 ; 17.463 ; 21.091 ; 8.221 ; 90.816 ; 19.557 ; 23.897 ; 47.363 ; 34.719 ;;
CAÑAR; 158.269 ; 54.110 ; 20.757 ; 10.526 ; 22.826 ; 104.159 ; 21.345 ; 19.678 ; 63.136 ; 41.344 ;;
CARCHI; 101.319 ; 26.007 ; 10.980 ; 9.180 ; 5.846 ; 75.312 ; 15.923 ; 15.895 ; 43.495 ; 29.325 ;;
COTOPAXI; 241.883 ; 95.301 ; 34.036 ; 38.431 ; 22.834 ; 146.582 ; 30.704 ; 32.427 ; 83.451 ; 49.215 ;;
