;;;;;;;;;;;INDICE
;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;;;
TABLA 45. NÚMERO DE CABEZAS DE GANADO VACUNO SACRIFICADAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;
;;;;;;;;;;;
REGIÓN Y PROVINCIA;TOTAL;NÚMERO DE CABEZAS SACRIFICADAS ;;;;;;;;;
;;Subtotal;MACHOS;;;Subtotal;HEMBRAS;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros);;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;
;;;;;;;;;;;
;;;;;;;;;;;
TOTAL NACIONAL; 17.105 ; 8.120 ; 862 ; 2.593 ; 4.664 ; 8.985 ; 203 ; 1.261 ; 7.521 ;;
;;;;;;;;;;;
REGIÓN SIERRA; 4.752 ; 2.077 ; 480 ; 995 ; 601 ; 2.675 ; 98 ; 416 ; 2.162 ;;
REGIÓN COSTA; 7.569 ; 3.656 ; 306 ; 1.218 ; 2.133 ; 3.914 ; 96 ; 649 ; 3.168 ;;
REGIÓN ORIENTAL; 4.677 ; 2.347 ; 76 ; 340 ; 1.930 ; 2.330 ; 9 ; 159 ; 2.162 ;;
ZONAS NO DELIMITADAS; 107 ; 41 ; . ; 41 ; . ; 66 ; . ; 37 ; 30 ;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
;;;;;;;;;;;
AZUAY; 440 ; 331 ; 66 ; 169 ; 95 ; 109 ; -   ; 35 ; 74 ;;
BOLÍVAR; 196 ; 81 ; . ; 53 ; 29 ; 114 ; -   ; 86 ; 29 ;;
CAÑAR; 320 ; 123 ; 3 ; 119 ; . ; 197 ; 31 ; 113 ; 53 ;;
CARCHI; 102 ; 63 ; 40 ; 23 ; . ; 39 ; . ; 20 ; 19 ;;
COTOPAXI; 606 ; 496 ; 270 ; 137 ; 90 ; 110 ; . ; 16 ; 94 ;;
CHIMBORAZO; 301 ; 62 ; . ; 5 ; 58 ; 238 ; 63 ; 2 ; 173 ;;
IMBABURA; 288 ; 125 ; -   ; 75 ; 50 ; 163 ; -   ; 49 ; 113 ;;
LOJA; 1.402 ; 239 ; 1 ; 58 ; 180 ; 1.163 ; 1 ; 38 ; 1.124 ;;
PICHINCHA; 567 ; 382 ; 39 ; 255 ; 88 ; 185 ; . ; 7 ; 179 ;;
TUNGURAHUA; 136 ; 94 ; 59 ; 23 ; 11 ; 42 ; 2 ; 11 ; 29 ;;
SANTO DOMINGO DE LOS TSÁCHILAS; 394 ; 80 ; 2 ; 78 ; . ; 314 ; . ; 40 ; 275 ;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
;;;;;;;;;;;
EL ORO; 1.337 ; 993 ; 82 ; 407 ; 505 ; 344 ; . ; 107 ; 237 ;;
ESMERALDAS; 3.413 ; 1.765 ; 41 ; 528 ; 1.196 ; 1.648 ; -   ; 324 ; 1.324 ;;
GUAYAS; 1.039 ; 176 ; 64 ; 105 ; 7 ; 863 ; 96 ; 15 ; 752 ;;
LOS RÍOS; 194 ; 119 ; 116 ; . ; 3 ; 75 ; . ; . ; 75 ;;
MANABÍ; 1.584 ; 600 ; -   ; 178 ; 422 ; 984 ; -   ; 203 ; 781 ;;
SANTA ELENA; 2 ; 2 ; 2 ; . ; . ; . ; . ; . ; . ;;
;;;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;;;
;;;;;;;;;;;
MORONA SANTIAGO; 4.024 ; 2.070 ; 8 ; 233 ; 1.829 ; 1.954 ; . ; 90 ; 1.864 ;;
NAPO; 226 ; 76 ; 15 ; . ; 61 ; 150 ; 9 ; . ; 141 ;;
ORELLANA; 186 ; 131 ; 53 ; 68 ; 10 ; 55 ; . ; 55 ; . ;;
PASTAZA; 20 ; 20 ; . ; . ; 20 ; . ; . ; . ; . ;;
SUCUMBÍOS; 11 ; 11 ; . ; . ; 11 ; . ; . ; . ; . ;;
ZAMORA CHINCHIPE; 211 ; 40 ; . ; 40 ; -   ; 172 ; . ; 15 ; 157 ;;
ZONAS NO DELIMITADAS; 107 ; 41 ; . ; 41 ; . ; 66 ; . ; 37 ; 30 ;;
;;;;;;;;;;;
Fuente: INEC 2014;;;;;;;;;;;
