;;;;;;;;INDICE;
;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;
TABLA 47. NÚMERO DE CABEZAS DE GANADO PORCINO Y VENTAS , SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;
;;;;;;;;;
REGIÓN Y PROVINCIA;GANADO PORCINO;;;;;;;;
;TOTAL;EXISTENCIA (Machos y hembras);;TOTAL;VENTAS (Machos y hembras);;;;
;;Menores de 2 meses de edad;Mayores de 2 meses de edad;;Menores de 2 meses de edad;Mayores de 2 meses de edad;;;
;;;;;;;;;
;;;;;;;;;
TOTAL NACIONAL;1.910.319;626.565;1.283.754;400.690;88.330;312.360;;;
;;;;;;;;;
REGIÓN SIERRA; 1.130.653 ; 371.615 ; 759.038 ; 260.747 ; 43.787 ; 216.961 ;;;
REGIÓN COSTA; 479.658 ; 118.102 ; 361.556 ; 131.963 ; 41.597 ; 90.366 ;;;
REGIÓN ORIENTAL; 294.167 ; 135.524 ; 158.643 ; 6.879 ; 2.885 ; 3.994 ;;;
ZONAS NO DELIMITADAS; 5.841 ; 1.324 ; 4.517 ; 1.102 ; 62 ; 1.040 ;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
;;;;;;;;;
AZUAY; 203.909 ; 29.670 ; 174.239 ; 53.589 ; 3.948 ; 49.641 ;;;
BOLÍVAR; 38.704 ; 10.247 ; 28.457 ; 7.538 ; 1.052 ; 6.486 ;;;
CAÑAR; 48.625 ; 11.775 ; 36.851 ; 8.377 ; 5.370 ; 3.007 ;;;
CARCHI; 32.208 ; 9.108 ; 23.100 ; 10.058 ; 2.732 ; 7.326 ;;;
COTOPAXI; 91.432 ; 20.252 ; 71.179 ; 25.553 ; 5.932 ; 19.621 ;;;
CHIMBORAZO; 78.973 ; 19.774 ; 59.199 ; 20.111 ; 8.843 ; 11.268 ;;;
IMBABURA; 69.519 ; 27.249 ; 42.270 ; 22.507 ; 822 ; 21.685 ;;;
LOJA; 35.409 ; 12.510 ; 22.899 ; 4.231 ; 969 ; 3.262 ;;;
PICHINCHA; 380.616 ; 192.684 ; 187.932 ; 17.882 ; 3.648 ; 14.234 ;;;
TUNGURAHUA; 68.323 ; 19.803 ; 48.520 ; 25.174 ; 9.070 ; 16.104 ;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 82.934 ; 18.543 ; 64.391 ; 65.728 ; 1.403 ; 64.326 ;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
;;;;;;;;;
EL ORO; 152.585 ; 7.984 ; 144.601 ; 8.004 ; 2.932 ; 5.072 ;;;
ESMERALDAS; 30.807 ; 9.522 ; 21.285 ; 5.770 ; 591 ; 5.179 ;;;
GUAYAS; 114.649 ; 42.517 ; 72.132 ; 66.081 ; 20.998 ; 45.083 ;;;
LOS RÍOS; 43.189 ; 10.703 ; 32.487 ; 10.631 ; 4.198 ; 6.433 ;;;
MANABÍ; 130.456 ; 46.946 ; 83.510 ; 35.230 ; 12.843 ; 22.387 ;;;
SANTA ELENA; 7.972 ; 430 ; 7.542 ; 6.247 ; 35 ; 6.212 ;;;
;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;
;;;;;;;;;
MORONA SANTIAGO; 258.273 ; 124.705 ; 133.567 ; 1.455 ; 365 ; 1.090 ;;;
NAPO; 1.032 ; 224 ; 809 ; 329 ; 177 ; 152 ;;;
ORELLANA; 10.023 ; 2.360 ; 7.664 ; 1.351 ; 255 ; 1.097 ;;;
PASTAZA; 5.189 ; 2.309 ; 2.880 ; 1.450 ; 1.029 ; 422 ;;;
SUCUMBÍOS; 12.095 ; 2.721 ; 9.374 ; 1.361 ; 484 ; 877 ;;;
ZAMORA CHINCHIPE; 7.555 ; 3.206 ; 4.349 ; 932 ; 575 ; 357 ;;;
ZONAS NO DELIMITADAS; 5.841 ; 1.324 ; 4.517 ; 1.102 ; 62 ; 1.040 ;;;
;;;;;;;;;
Fuente: INEC 2014;;;;;;;;;
