;;;;;;;;;;INDICE;;;;;;;;
;;;;;;;;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;;;;;;;;;;
TABLA 52. DESTINO DE LAS AVES CRIADAS EN EL CAMPO POR ESPECIES, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN Y PROVINCIA;AVES CRIADAS EN EL CAMPO;;;;;;;;;;;;;;;;;
;GALLOS Y GALLINAS;;POLLITOS, POLLITAS, POLLOS, POLLAS;;PATOS;;PAVOS;;;;;;;;;;;
;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
TOTAL NACIONAL;421.583;1.791.373;167.895;413.619;34.457;71.218;2.893;3.135;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN SIERRA;183.706;889.078;114.541;155.538;6.159;10.396;1.703;1.484;;;;;;;;;;
REGIÓN COSTA;149.243;670.613;39.906;239.796;15.176;40.020;512;1.604;;;;;;;;;;
REGIÓN ORIENTAL;84.957;211.419;13.124;13.909;13.122;20.212;678;48;;;;;;;;;;
ZONAS NO DELIMITADAS;3.676;20.263;325;4.376;.;589;.;.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
AZUAY;35.475;139.394;20.356;10.586;272;843;0;0;;;;;;;;;;
BOLÍVAR;7.624;66.012;1.354;30.641;138;1.380;0;.;;;;;;;;;;
CAÑAR;43.102;105.823;45.671;42.623;2.270;1.978;225;77;;;;;;;;;;
CARCHI;11.069;36.033;2.131;695;.;193;0;45;;;;;;;;;;
COTOPAXI;22.342;101.964;3.309;12.721;1.756;1.316;1.004;648;;;;;;;;;;
CHIMBORAZO;12.793;97.413;10.358;4.865;778;1.155;276;202;;;;;;;;;;
IMBABURA;9.353;50.711;518;2.185;0;268;0;0;;;;;;;;;;
LOJA;12.920;123.270;7.540;26.799;132;1.664;0;288;;;;;;;;;;
PICHINCHA;9.487;52.758;4.907;2.682;71;59;71;57;;;;;;;;;;
TUNGURAHUA;15.976;86.883;16.025;7.385;654;360;65;163;;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;3.564;28.816;2.372;14.354;87;1.181;62;4;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
EL ORO;9.548;35.651;909;3.982;178;543;.;20;;;;;;;;;;
ESMERALDAS;12.262;58.852;1.751;2.620;920;1.668;64;3;;;;;;;;;;
GUAYAS;26.967;157.478;5.551;55.834;5.051;11.100;94;983;;;;;;;;;;
LOS RÍOS;21.579;168.790;7.398;61.332;3.520;10.479;17;257;;;;;;;;;;
MANABÍ;78.796;248.249;24.113;115.631;5.492;16.007;336;340;;;;;;;;;;
SANTA ELENA;92;1592;183;396;15;223;.;.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
MORONA SANTIAGO;47.285;99.654;3.285;2.948;11.968;17.921;56;0;;;;;;;;;;
NAPO;2.276;13.397;1.137;436;.;488;0;.;;;;;;;;;;
ORELLANA;13.390;34.697;920;143;59;175;.;48;;;;;;;;;;
PASTAZA;136;5.170;2.685;406;111;31;.;.;;;;;;;;;;
SUCUMBÍOS;18.800;41.092;3.724;9.265;985;1.463;623;0;;;;;;;;;;
ZAMORA CHINCHIPE;3.070;17.409;1.372;710;.;134;.;.;;;;;;;;;;
ZONAS NO DELIMITADAS;3.676;20.263;325;4.376;.;589;.;.;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Fuente: INEC 2014;;;;;;;;;;;;;;;;;;
