;;;;;;;;;;INDICE;;;;;;;
;;;;;;;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;;;;;;;;;
TABLA 55. PRODUCCIÓN Y DESTINO DE HUEVOS DE GALLINA, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
REGIÓN Y PROVINCIA;HUEVOS DE GALLINA;;;;;;;;;;;;;;;;
;AVES CRIADAS EN CAMPO;;;;AVES CRIADAS EN PLANTELES AVÍCOLAS;;;;;;;;;;;;
;PRODUCCIÓN;DESTINO;;;PRODUCCIÓN;DESTINO;;;;;;;;;;;
;;Autoconsumo;Ventas;Otros;;Autoconsumo;Ventas;Otros;;;;;;;;;
;;;;;;;;;;;;;;;;;
TOTAL NACIONAL;8.624.122;6.824.225;990.193;809.704;46.302.489;53.221;42.583.635;3.665.633;;;;;;;;;
;;;;;;;;;;;;;;;;;
REGIÓN SIERRA;5.108.313;4.040.216;700.832;367.265;37.644.141;45.990;35.560.834;2.037.317;;;;;;;;;
REGIÓN COSTA;2.635.892;2.022.494;226.359;387.038;6.866.558;7.211;6.082.331;777.016;;;;;;;;;
REGIÓN ORIENTAL;806.490;708.660;61.919;35.911;1.001.790;20;150.470;851.300;;;;;;;;;
ZONAS NO DELIMITADAS;73.427;52.855;1.083;19.489;790.000;0;790.000;.;;;;;;;;;
;;;;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
AZUAY;1.038.722;774.992;178.491;85.239;120.100;320;119.080;700;;;;;;;;;
BOLÍVAR;241.785;194.522;15.366;31.897;.;.;.;.;;;;;;;;;
CAÑAR;851.667;500.262;230.159;121.246;161;64;64;32;;;;;;;;;
CARCHI;165.772;143.967;7.856;13.949;10.200;.;.;10.200;;;;;;;;;
COTOPAXI;597.781;509.073;65.097;23.610;10.547.970;16.016;10.470.709;61.244;;;;;;;;;
CHIMBORAZO;582.139;519.812;22.249;40.078;722.925;1.859;719.666;1.400;;;;;;;;;
IMBABURA;308.620;258.785;47.815;2.020;556.530;.;95.130;461.400;;;;;;;;;
LOJA;528.724;481.978;20.976;25.770;42.000;420;39.480;2.100;;;;;;;;;
PICHINCHA;236.931;212.662;16.078;8.190;7.200.542;498;5.931.055;1.268.989;;;;;;;;;
TUNGURAHUA;414.438;339.672;73.236;1.530;18.230.163;26.712;17.972.799;230.652;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;141.737;104.491;23.510;13.736;213.550;100;212.850;600;;;;;;;;;
;;;;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
EL ORO;170.031;142.429;22.059;5.544;685.500;150;685.350;.;;;;;;;;;
ESMERALDAS;286.936;260.046;18.029;8.862;480;.;480;.;;;;;;;;;
GUAYAS;517.716;423.150;30.988;63.578;1.695.863;.;1.482.847;213.016;;;;;;;;;
LOS RÍOS;580.371;425.824;41.300;113.247;464.280;.;280;464.000;;;;;;;;;
MANABÍ;1.075.343;766.186;113.983;195.174;4.020.435;7.061;3.913.374;100.000;;;;;;;;;
SANTA ELENA;5.494;4.861;.;633;.;.;.;.;;;;;;;;;
;;;;;;;;;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
MORONA SANTIAGO;280.336;241.511;18.340;20.485;.;.;.;.;;;;;;;;;
NAPO;68.844;64.163;0;4.680;667.300;.;105.000;562.300;;;;;;;;;
ORELLANA;95.817;87.987;5.492;2.338;44.100;.;44.100;.;;;;;;;;;
PASTAZA;34.104;33.567;318;218;290.260;.;1.260;289.000;;;;;;;;;
SUCUMBÍOS;212.608;172.721;32.608;7.278;.;.;.;.;;;;;;;;;
ZAMORA CHINCHIPE; 114.781 ; 108.710 ; 5.161 ; 910 ; 130 ; 20 ; 110 ; . ;;;;;;;;;
ZONAS NO DELIMITADAS; 73.427 ; 52.855 ; 1.083 ; 19.489 ; 790.000 ; -   ; 790.000 ; . ;;;;;;;;;
;;;;;;;;;;;;;;;;;
Fuente: INEC 2014;;;;;;;;;;;;;;;;;
