Región y Provincia;NÚMERO TOTAL DE CABEZAS (Machos y Hembras);;;;;;;;ÍNDICE
;Vacuno;Porcino ;Ovino;Asnal;Caballar;Mular ;Caprino;;
TOTAL NACIONAL;3.723.196;983.999;561.949;33.971;143.391;54.067;28.641;;
REGIÓN SIERRA;2.039.677;668.019;539.882;25.082;72.926;14.285;25.647;;
REGIÓN COSTA;1.363.680;280.827;19.250;8.052;56.663;37.216;2.977;;
REGIÓN AMAZÓNICA;318.957;35.154;2.816;837;13.721;2.543;17;;
ZONA NO DELIMITADA;882;;;;81;23;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
AZUAY;258.359;42.531;49.245;758;12.298;851;1.693;;
BOLÍVAR;141.945;31.637;17.050;813;6.027;4.608;218;;
CAÑAR;120.959;17.445;23.788;528;2.528;413;55;;
CARCHI;91.010;37.044;577;113;4.996;98;60;;
COTOPAXI;292.654;83.199;114.187;3.636;7.380;1.664;4.010;;
CHIMBORAZO;343.612;63.758;185.108;11.677;5.291;270;1.383;;
IMBABURA;93.374;122.087;12.824;728;7.170;621;318;;
LOJA;124.330;22.186;34.652;3.348;7.975;2.171;15.053;;
PICHINCHA;244.771;23.412;26.818;385;11.899;1.058;2.461;;
TUNGURAHUA;211.585;50.165;75.560;2.827;5.938;545;241;;
SANTO DOMINGO DE LOS TSÁCHILAS;117.079;174.554;72;267;1.424;1.986;156;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
EL ORO;112.805;43.562;5.494;434;3.882;1.059;285;;
ESMERALDAS;231.100;24.246;27;1.476;14.022;9.810;596;;
GUAYAS;220.156;80.093;9.679;651;16.138;2.546;1.156;;
LOS RÍOS;70.532;27.756;3.227;304;4.204;1.254;;;
MANABÍ;727.201;94.578;820;5.187;18.347;22.538;200;;
SANTA ELENA;1.886;10.592;4;;71;9;741;;
;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;
MORONA SANTIAGO;95.073;8.147;310;214;5.587;831;17;;
NAPO;14.954;4.548;248;1;253;36;;;
ORELLANA;52.640;7.382;9;119;1.776;221;;;
PASTAZA;16.350;4.248;678;;565;163;;;
SUCUMBÍOS;80.865;7.207;904;163;4.239;672;;;
ZAMORA CHINCHIPE;59.076;3.623;668;340;1.301;621;;;
;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;
ZONA NO DELIMITADA;882;;;;81;23;;;
;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;
