Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;6.883;4.550;26.524;26.205;;
REGIÓN SIERRA;;5.854;3.711;25.857;25.585;;
REGIÓN COSTA;;1.030;839;666;620;;
REGIÓN AMAZÓNICA;;;;;;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;3;3;11;11;;
;Asociado;;;;;;
BOLÍVAR;Solo;51;36;165;165;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;1.901;1.427;9.515;9.489;;
;Asociado;328;304;1.490;1.478;;
COTOPAXI;Solo;;;;;;
;Asociado;3;;;;;
CHIMBORAZO;Solo;126;;;;;
;Asociado;33;6;36;34;;
IMBABURA;Solo;1.389;461;3.891;3.805;;
;Asociado;107;28;70;70;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo;975;701;5.212;5.127;;
;Asociado;301;301;2.237;2.237;;
TUNGURAHUA;Solo;636;445;3.231;3.169;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;2;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;14;14;31;;;
;Asociado;;;;;;
GUAYAS;Solo;274;97;265;265;;
;Asociado;1;1;3;3;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;2;2;5;5;;
SANTA ELENA;Solo;739;724;362;348;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
