Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;184.034;175.181;7.159.816;6.931.106;;
REGIÓN SIERRA;;13.456;12.714;249.626;244.030;;
REGIÓN COSTA;;168.785;160.813;6.895.349;6.679.982;;
REGIÓN AMAZÓNICA;;1.793;1.654;14.841;7.095;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;196;151;1.529;1.466;;
;Asociado;;;;;;
BOLÍVAR;Solo;3.535;3.531;19.570;18.425;;
;Asociado;646;646;2.698;2.565;;
CAÑAR;Solo;2.587;2.537;93.899;93.742;;
;Asociado;;;;;;
CARCHI;Solo;69;42;325;253;;
;Asociado;;;;;;
COTOPAXI;Solo;3.016;3.011;91.454;91.454;;
;Asociado;913;913;15.474;15.474;;
CHIMBORAZO;Solo;;;;;;
;Asociado;;;;;;
IMBABURA;Solo;;;;;;
;Asociado;;;;;;
LOJA;Solo;869;575;6.461;3.964;;
;Asociado;607;291;2.332;1.014;;
PICHINCHA;Solo;11;11;6;;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;1.005;1.005;15.875;15.673;;
;Asociado;1;1;2;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;35.993;35.203;1.483.544;1.451.340;;
;Asociado;222;218;635;531;;
ESMERALDAS;Solo;245;186;1.915;1.782;;
;Asociado;1.270;1.127;6.133;5.706;;
GUAYAS;Solo;57.836;54.341;2.276.660;2.214.693;;
;Asociado;37;37;629;513;;
LOS RÍOS;Solo;69.455;66.120;3.049.723;2.943.273;;
;Asociado;;;;;;
MANABÍ;Solo;1.241;1.162;15.484;9.513;;
;Asociado;190;183;863;779;;
SANTA ELENA;Solo;2.296;2.235;59.763;51.852;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;1.339;1.240;6.743;5.070;;
;Asociado;112;102;2.223;1.816;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;64;64;273;137;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;232;227;5.339;22;;
;Asociado;46;22;263;49;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
