Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;609.750;516.634;375.719;374.623;;
REGIÓN SIERRA;;73.331;66.206;55.415;55.382;;
REGIÓN COSTA;;466.401;397.206;297.632;297.014;;
REGIÓN AMAZÓNICA;;70.018;53.222;22.672;22.228;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;2.719;2.016;1.496;1.496;;
;Asociado;;;;;;
BOLÍVAR;Solo;10.167;10.026;11.416;11.416;;
;Asociado;7.650;7.278;7.462;7.462;;
CAÑAR;Solo;7.130;5.800;2.302;2.302;;
;Asociado;;;;;;
CARCHI;Solo;68;68;28;23;;
;Asociado;;;;;;
COTOPAXI;Solo;4.671;4.187;3.851;3.847;;
;Asociado;1.578;1.578;746;746;;
CHIMBORAZO;Solo;550;525;323;323;;
;Asociado;;;;;;
IMBABURA;Solo;468;433;252;252;;
;Asociado;106;74;43;38;;
LOJA;Solo;7;5;2;1;;
;Asociado;;;;;;
PICHINCHA;Solo;11.165;9.983;5.619;5.600;;
;Asociado;515;51;33;33;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;23.004;21.355;19.830;19.830;;
;Asociado;3.535;2.827;2.013;2.013;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;13.254;11.144;11.417;11.242;;
;Asociado;534;140;183;183;;
ESMERALDAS;Solo;109.041;86.168;50.921;50.835;;
;Asociado;6.222;4.080;1.285;1.249;;
GUAYAS;Solo;89.468;81.984;66.089;65.925;;
;Asociado;5.693;3.681;2.224;2.224;;
LOS RÍOS;Solo;107.645;97.138;86.504;86.351;;
;Asociado;16.374;14.749;12.550;12.548;;
MANABÍ;Solo;97.662;83.583;56.004;56.002;;
;Asociado;19.418;13.777;9.500;9.500;;
SANTA ELENA;Solo;1.057;762;956;956;;
;Asociado;33;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;134;61;50;46;;
;Asociado;;;;;;
NAPO;Solo;12.200;10.455;5.646;5.356;;
;Asociado;11;11;7;5;;
ORELLANA;Solo;28.282;19.301;6.364;6.337;;
;Asociado;374;307;14;14;;
PASTAZA;Solo;57;57;17;16;;
;Asociado;53;4;2;2;;
SUCUMBÍOS;Solo;25.556;20.967;9.706;9.630;;
;Asociado;2.675;1.479;617;573;;
ZAMORA CHINCHIPE;Solo;645;571;242;242;;
;Asociado;32;8;7;7;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
