Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;30.314;22.373;5.584;5.421;;
REGIÓN SIERRA;;5.278;3.218;886;818;;
REGIÓN COSTA;;8.356;6.596;1.929;1.855;;
REGIÓN AMAZÓNICA;;16.680;12.559;2.770;2.748;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;60;54;5;4;;
;Asociado;;;;;;
BOLÍVAR;Solo;122;122;113;113;;
;Asociado;;;;;;
CAÑAR;Solo;1;1;0;;;
;Asociado;;;;;;
CARCHI;Solo;39;12;11;3;;
;Asociado;193;;;;;
COTOPAXI;Solo;56;56;5;4;;
;Asociado;;;;;;
CHIMBORAZO;Solo;44;29;7;;;
;Asociado;;;;;;
IMBABURA;Solo;223;167;55;43;;
;Asociado;222;133;39;38;;
LOJA;Solo;2.342;1.504;402;369;;
;Asociado;661;396;43;37;;
PICHINCHA;Solo;242;122;35;35;;
;Asociado;110;19;6;6;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;375;343;126;126;;
;Asociado;589;260;40;40;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;474;458;88;78;;
;Asociado;186;186;18;18;;
ESMERALDAS;Solo;82;82;13;13;;
;Asociado;;;;;;
GUAYAS;Solo;578;16;9;9;;
;Asociado;25;6;1;1;;
LOS RÍOS;Solo;154;136;84;84;;
;Asociado;;;;;;
MANABÍ;Solo;6.500;5.418;1.622;1.559;;
;Asociado;325;266;87;87;;
SANTA ELENA;Solo;31;29;7;7;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;201;201;177;171;;
;Asociado;;;;;;
NAPO;Solo;298;265;56;56;;
;Asociado;11;11;5;5;;
ORELLANA;Solo;8.683;6.256;1.489;1.479;;
;Asociado;314;8;6;6;;
PASTAZA;Solo;65;65;39;39;;
;Asociado;4;4;0;0;;
SUCUMBÍOS;Solo;5.571;4.568;794;793;;
;Asociado;914;609;44;44;;
ZAMORA CHINCHIPE;Solo;620;572;159;154;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
