Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;20.945;18.003;805.151;503.858;;
REGIÓN SIERRA;;13.940;11.467;279.037;16.571;;
REGIÓN COSTA;;2.387;2.254;71.843;43.643;;
REGIÓN AMAZÓNICA;;4.618;4.283;454.271;443.644;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;401;345;11.526;81;;
;Asociado;;;;;;
BOLÍVAR;Solo;2.465;2.438;74.633;18;;
;Asociado;;;;;;
CAÑAR;Solo;795;641;7.775;0;;
;Asociado;;;;;;
CARCHI;Solo;280;165;4.005;3.091;;
;Asociado;;;;;;
COTOPAXI;Solo;4.545;4.177;65.974;344;;
;Asociado;;;;;;
CHIMBORAZO;Solo;239;239;1.795;0;;
;Asociado;;;;;;
IMBABURA;Solo;1.464;1.130;56.982;32;;
;Asociado;;;;;;
LOJA;Solo;1.375;1.103;22.223;13.004;;
;Asociado;;;;;;
PICHINCHA;Solo;2.183;1.035;33.310;;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;194;194;815;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;2.024;1.977;35.062;7.869;;
;Asociado;;;;;;
ESMERALDAS;Solo;207;121;1.689;1.588;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;26;25;249;;;
;Asociado;;;;;;
MANABÍ;Solo;130;130;34.844;34.186;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;3.758;3.643;442.951;442.744;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;192;183;1.044;900;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;428;217;5.564;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;240;240;4.711;0;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
