Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;6.368;4.987;28.107;27.336;;
REGIÓN SIERRA;;2.407;1.936;13.610;13.361;;
REGIÓN COSTA;;3.920;3.016;14.446;13.934;;
REGIÓN AMAZÓNICA;;40;35;51;41;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;4;;;;;
;Asociado;;;;;;
BOLÍVAR;Solo;;;;;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;896;664;5.041;5.013;;
;Asociado;109;54;372;366;;
COTOPAXI;Solo;1;1;0;;;
;Asociado;;;;;;
CHIMBORAZO;Solo;17;17;91;88;;
;Asociado;5;;;;;
IMBABURA;Solo;321;308;1.568;1.567;;
;Asociado;;;;;;
LOJA;Solo;156;156;1.122;1.039;;
;Asociado;;;;;;
PICHINCHA;Solo;497;367;2.705;2.587;;
;Asociado;301;301;2.145;2.134;;
TUNGURAHUA;Solo;70;37;209;209;;
;Asociado;31;31;348;348;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;2;2;10;10;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;839;706;4.102;4.102;;
;Asociado;753;595;1.854;1.710;;
ESMERALDAS;Solo;273;129;705;699;;
;Asociado;39;4;5;3;;
GUAYAS;Solo;370;196;929;578;;
;Asociado;;;;;;
LOS RÍOS;Solo;8;;;;;
;Asociado;;;;;;
MANABÍ;Solo;1.354;1.256;6.391;6.383;;
;Asociado;193;78;234;233;;
SANTA ELENA;Solo;92;53;225;225;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;5;;;;;
;Asociado;35;35;51;41;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
