Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;14.414;10.957;76.030;75.730;;
REGIÓN SIERRA;;2.808;2.368;23.709;23.599;;
REGIÓN COSTA;;11.588;8.584;52.256;52.066;;
REGIÓN AMAZÓNICA;;18;5;65;65;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;288;288;925;925;;
;Asociado;;;;;;
BOLÍVAR;Solo;;;;;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;76;26;478;478;;
;Asociado;;;;;;
COTOPAXI;Solo;;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo;8;8;16;16;;
;Asociado;;;;;;
IMBABURA;Solo;94;80;718;718;;
;Asociado;29;21;189;189;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo;515;351;2.262;2.262;;
;Asociado;369;369;1.396;1.396;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;1.371;1.168;17.328;17.218;;
;Asociado;58;58;397;397;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;161;145;1.747;1.747;;
;Asociado;43;43;305;305;;
ESMERALDAS;Solo;5.043;3.342;15.825;15.822;;
;Asociado;2.245;1.710;17.544;17.490;;
GUAYAS;Solo;516;281;1.472;1.464;;
;Asociado;7;7;33;33;;
LOS RÍOS;Solo;125;125;1.638;1.580;;
;Asociado;837;761;2.756;2.756;;
MANABÍ;Solo;1.964;1.631;9.193;9.132;;
;Asociado;213;155;563;563;;
SANTA ELENA;Solo;434;383;1.179;1.174;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;18;5;65;65;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
