Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;9.077;8.219;38.666;29.255;;
REGIÓN SIERRA;;6.286;6.007;29.407;22.355;;
REGIÓN COSTA;;1.058;948;5.509;4.738;;
REGIÓN AMAZÓNICA;;1.734;1.264;3.750;2.162;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;;;;;;
BOLÍVAR;Solo;1.640;1.638;12.737;11.417;;
;Asociado;108;108;259;259;;
CAÑAR;Solo;2;2;8;;;
;Asociado;;;;;;
CARCHI;Solo;147;5;8;;;
;Asociado;;;;;;
COTOPAXI;Solo;1.318;1.263;5.986;5.023;;
;Asociado;608;608;2.951;2.497;;
CHIMBORAZO;Solo;1.706;1.706;5.254;1.113;;
;Asociado;;;;;;
IMBABURA;Solo;;;;;;
;Asociado;;;;;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo;1;1;0;;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;548;548;1.826;1.791;;
;Asociado;208;129;376;254;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;8;5;180;93;;
;Asociado;;;;;;
ESMERALDAS;Solo;40;27;106;86;;
;Asociado;25;25;104;85;;
GUAYAS;Solo;88;88;632;626;;
;Asociado;;;;;;
LOS RÍOS;Solo;896;803;4.485;3.848;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;542;539;2.524;1.788;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;12;6;11;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;823;424;1.008;357;;
;Asociado;358;296;207;17;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
