Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;194.419;137.678;2.049.700;1.770.796;;
REGIÓN SIERRA;;14.736;5.203;62.395;62.395;;
REGIÓN COSTA;;149.396;112.269;1.747.936;1.469.033;;
REGIÓN AMAZÓNICA;;30.287;20.207;239.368;239.368;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;;;;;;
BOLÍVAR;Solo;264;63;1.152;1.152;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo;737;737;15.940;15.940;;
;Asociado;;;;;;
CHIMBORAZO;Solo;;;;;;
;Asociado;;;;;;
IMBABURA;Solo;1.189;567;4.613;4.613;;
;Asociado;63;21;253;253;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo;5.912;1.778;6.710;6.710;;
;Asociado;289;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;6.222;2.037;33.728;33.728;;
;Asociado;60;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;67.993;48.887;693.429;414.745;;
;Asociado;1.069;7;27;27;;
GUAYAS;Solo;26.401;12.360;277.997;277.777;;
;Asociado;361;341;2.983;2.983;;
LOS RÍOS;Solo;47.526;44.905;727.341;727.341;;
;Asociado;634;359;3.123;3.123;;
MANABÍ;Solo;5.068;5.065;38.948;38.948;;
;Asociado;345;345;4.089;4.089;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;7.740;3.398;23.186;23.186;;
;Asociado;234;167;4.259;4.259;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;21.304;16.641;211.923;211.923;;
;Asociado;1.010;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
