Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;11.978;11.720;65.285;65.285;;
REGIÓN SIERRA;;9.440;9.329;49.275;49.275;;
REGIÓN COSTA;;1.924;1.924;11.350;11.350;;
REGIÓN AMAZÓNICA;;614;467;4.660;4.660;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;;;;;;
BOLÍVAR;Solo;;;;;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo;;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo;;;;;;
;Asociado;;;;;;
IMBABURA;Solo;343;343;2.651;2.650;;
;Asociado;;;;;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo;8.512;8.401;43.523;43.523;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;585;585;3.102;3.102;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;1.818;1.818;10.928;10.928;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;106;106;422;422;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;15;15;102;102;;
;Asociado;;;;;;
ORELLANA;Solo;599;452;4.558;4.558;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
