Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;152.654;119.637;840.599;787.682;;
REGIÓN SIERRA;;26.463;21.046;167.767;158.744;;
REGIÓN COSTA;;104.180;82.521;586.506;561.698;;
REGIÓN AMAZÓNICA;;22.010;16.070;86.326;67.240;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;;;;;;
BOLÍVAR;Solo;671;645;5.036;4.781;;
;Asociado;987;794;7.445;7.303;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;363;138;680;469;;
;Asociado;295;176;155;145;;
COTOPAXI;Solo;2.220;1.873;20.185;18.646;;
;Asociado;218;200;831;529;;
CHIMBORAZO;Solo;46;42;302;2;;
;Asociado;11;;;;;
IMBABURA;Solo;1.634;918;7.373;5.850;;
;Asociado;222;137;324;228;;
LOJA;Solo;63;56;645;580;;
;Asociado;;;;;;
PICHINCHA;Solo;421;99;260;0;;
;Asociado;35;35;47;32;;
TUNGURAHUA;Solo;21;21;67;67;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;16.001;13.258;105.238;101.650;;
;Asociado;3.256;2.654;19.177;18.462;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;754;724;12.150;11.708;;
;Asociado;;;;;;
ESMERALDAS;Solo;5.212;2.884;16.137;13.073;;
;Asociado;4.208;2.605;9.367;8.503;;
GUAYAS;Solo;10.634;8.340;107.601;105.145;;
;Asociado;4.865;4.013;28.228;25.559;;
LOS RÍOS;Solo;6.828;4.708;37.673;35.416;;
;Asociado;11.477;10.050;67.125;66.033;;
MANABÍ;Solo;41.704;34.391;231.542;221.888;;
;Asociado;18.299;14.731;75.905;73.593;;
SANTA ELENA;Solo;199;75;779;779;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;3.078;2.028;19.065;13.384;;
;Asociado;413;46;637;299;;
NAPO;Solo;6.329;5.930;30.470;29.336;;
;Asociado;;;;;;
ORELLANA;Solo;4.821;3.226;9.205;6.852;;
;Asociado;390;355;1.180;839;;
PASTAZA;Solo;2.853;2.166;12.895;7.621;;
;Asociado;586;388;2.201;520;;
SUCUMBÍOS;Solo;2.731;1.399;6.757;5.157;;
;Asociado;473;290;846;704;;
ZAMORA CHINCHIPE;Solo;229;206;2.622;2.351;;
;Asociado;108;37;449;177;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
