Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;358.231;343.050;1.636.349;1.580.229;;
REGIÓN SIERRA;;851;831;5.473;5.414;;
REGIÓN COSTA;;356.934;341.772;1.630.328;1.574.328;;
REGIÓN AMAZÓNICA;;447;447;549;486;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;;;;;;
BOLÍVAR;Solo;28;28;132;74;;
;Asociado;;;;;;
CAÑAR;Solo;90;70;557;557;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo;428;428;3.892;3.892;;
;Asociado;;;;;;
CHIMBORAZO;Solo;;;;;;
;Asociado;;;;;;
IMBABURA;Solo;305;305;892;892;;
;Asociado;;;;;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo;;;;;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;3.867;3.867;18.735;18.675;;
;Asociado;;;;;;
ESMERALDAS;Solo;3.806;3.806;12.542;12.542;;
;Asociado;;;;;;
GUAYAS;Solo;242.234;230.710;1.129.496;1.095.512;;
;Asociado;;;;;;
LOS RÍOS;Solo;88.999;85.392;383.295;368.034;;
;Asociado;;;;;;
MANABÍ;Solo;18.026;17.997;86.260;79.565;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;282;282;90;42;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;164;164;459;444;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
