ÁRBOLES DISPERSOS;NÚMERO DE ÁRBOLES;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE
ACHIOTE (GRANO SECO); 5.033 ; 360 ; 8 ;;
AGUACATE (FRUTA FRESCA); 99.418 ; 3.738 ; 953 ;;
BANANO (FRUTA FRESCA); 368.976 ; 4.236 ; 308 ;;
CACAO (ALMENDRA SECA); 368.626 ; 445 ; 400 ;;
CAFÉ (GRANO ORO); 17.991 ; 135 ; 2 ;;
CLAUDIA (FRUTA FRESCA); 53.370 ; 551 ; 283 ;;
CHIRIMOYA (FRUTA FRESCA); 15.777 ; 211 ; 85 ;;
CIRUELO (FRUTA FRESCA); 9.781 ; 313 ; 20 ;;
COCOTERO (FRUTA FRESCA); 90.753 ; 4.636 ; 3.079 ;;
DURAZNO (FRUTA FRESCA); 26.810 ; 150 ; 35 ;;
GUABA (FRUTA FRESCA); 89.979 ; 2.923 ; 311 ;;
GUANÁBANA (FRUTA FRESCA); 24.999 ; 860 ; 32 ;;
GUAYABA (FRUTA FRESCA); 14.505 ; 449 ; 1 ;;
LIMA (FRUTA FRESCA); 5.642 ; 93 ;;;
LIMÓN (FRUTA FRESCA); 214.753 ; 4.715 ; 1.281 ;;
MANDARINA (FRUTA FRESCA); 809.943 ; 24.039 ; 12.840 ;;
MANGO (FRUTA FRESCA); 230.962 ; 8.661 ; 1.572 ;;
MANZANA (FRUTA FRESCA); 27.505 ; 221 ; 56 ;;
MARACUYÁ (FRUTA FRESCA); 6.801 ; 222 ; 57 ;;
NARANJA (FRUTA FRESCA); 1.152.948 ; 45.902 ; 16.791 ;;
ORITO (FRUTA FRESCA); 34.580 ; 333 ; 9 ;;
PAPAYA (FRUTA FRESCA); 51.068 ; 837 ; 92 ;;
PERA (FRUTA FRESCA); 32.064 ; 628 ; 407 ;;
PIÑA (FRUTA FRESCA); 6.364 ; 5 ;;;
PLÁTANO (FRUTA FRESCA); 2.768.461 ; 42.428 ; 9.484 ;;
TOMATE DE ÁRBOL (FRUTA FRESCA); 23.754 ; 165 ; 19 ;;
TORONJA (FRUTA FRESCA); 52.770 ; 1.837 ; 380 ;;
ZAPOTE (FRUTA FRESCA); 16.067 ; 925 ; 126 ;;
OTROS PERMANENTES; 119.587 ;;;;
;;;;;
FUENTE: ESPAC - 2023;;;;;
