Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;2.734;2.485;5.560;5.155;;
REGIÓN SIERRA;;2.734;2.485;5.560;5.155;;
REGIÓN COSTA;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;211;201;263;229;;
;Asociado;43;42;53;39;;
BOLÍVAR;Solo;107;102;160;131;;
;Asociado;;;;;;
CAÑAR;Solo;93;64;86;63;;
;Asociado;31;22;11;0;;
CARCHI;Solo;475;469;1.834;1.833;;
;Asociado;;;;;;
COTOPAXI;Solo;28;28;40;37;;
;Asociado;;;;;;
CHIMBORAZO;Solo;437;382;1.280;1.255;;
;Asociado;122;122;83;47;;
IMBABURA;Solo;465;438;747;672;;
;Asociado;28;28;15;;;
LOJA;Solo;156;122;96;32;;
;Asociado;6;6;6;;;
PICHINCHA;Solo;190;165;111;88;;
;Asociado;8;8;4;4;;
TUNGURAHUA;Solo;293;247;702;666;;
;Asociado;40;40;71;59;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
