Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;22.748;19.653;12.972;10.348;;
REGIÓN SIERRA;;21.226;18.179;12.137;9.649;;
REGIÓN COSTA;;1.351;1.303;796;698;;
REGIÓN AMAZÓNICA;;171;171;39;;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;31;29;28;22;;
;Asociado;1.785;1.495;487;50;;
BOLÍVAR;Solo;6.038;5.950;4.420;4.132;;
;Asociado;1.370;1.358;873;769;;
CAÑAR;Solo;6;6;0;;;
;Asociado;1.032;922;335;61;;
CARCHI;Solo;1.773;1.670;1.591;1.478;;
;Asociado;95;95;89;79;;
COTOPAXI;Solo;847;484;431;411;;
;Asociado;;;;;;
CHIMBORAZO;Solo;2.131;919;270;192;;
;Asociado;151;103;49;23;;
IMBABURA;Solo;1.646;1.605;1.922;1.779;;
;Asociado;908;853;301;150;;
LOJA;Solo;736;200;115;61;;
;Asociado;2.305;2.129;831;184;;
PICHINCHA;Solo;80;79;29;20;;
;Asociado;254;247;342;222;;
TUNGURAHUA;Solo;37;33;25;17;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;272;224;88;14;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;13;13;13;12;;
;Asociado;;;;;;
LOS RÍOS;Solo;451;451;270;268;;
;Asociado;89;89;65;65;;
MANABÍ;Solo;150;150;53;35;;
;Asociado;375;375;308;305;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;171;171;39;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
