Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;5.093;4.631;17.778;15.907;;
REGIÓN SIERRA;;4.468;4.012;16.956;15.101;;
REGIÓN COSTA;;625;619;821;806;;
REGIÓN AMAZÓNICA;;;;;;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;281;233;120;25;;
BOLÍVAR;Solo;126;126;309;263;;
;Asociado;;;;;;
CAÑAR;Solo;48;47;176;158;;
;Asociado;60;60;10;0;;
CARCHI;Solo;575;575;4.418;4.395;;
;Asociado;;;;;;
COTOPAXI;Solo;269;250;713;620;;
;Asociado;157;113;78;31;;
CHIMBORAZO;Solo;892;799;4.839;4.041;;
;Asociado;6;6;19;7;;
IMBABURA;Solo;126;45;76;39;;
;Asociado;52;39;49;35;;
LOJA;Solo;6;6;5;;;
;Asociado;430;389;190;8;;
PICHINCHA;Solo;634;586;1.757;1.522;;
;Asociado;61;55;86;37;;
TUNGURAHUA;Solo;707;653;4.019;3.835;;
;Asociado;35;30;95;86;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;28;28;8;8;;
;Asociado;;;;;;
GUAYAS;Solo;38;38;51;51;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;550;544;723;709;;
;Asociado;10;10;39;38;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
