Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;5.496;5.477;18.512;18.006;;
REGIÓN SIERRA;;2.139;2.137;5.930;5.794;;
REGIÓN COSTA;;3.064;3.050;12.268;12.002;;
REGIÓN AMAZÓNICA;;293;289;314;209;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;13;13;5;;;
;Asociado;;;;;;
BOLÍVAR;Solo;;;;;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;63;63;28;;;
;Asociado;;;;;;
COTOPAXI;Solo;;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo;111;111;117;100;;
;Asociado;42;42;29;25;;
IMBABURA;Solo;58;58;53;37;;
;Asociado;;;;;;
LOJA;Solo;1.693;1.692;5.667;5.632;;
;Asociado;;;;;;
PICHINCHA;Solo;58;58;3;;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;100;100;27;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;1.882;1.882;7.971;7.930;;
;Asociado;55;50;24;6;;
ESMERALDAS;Solo;2;2;1;1;;
;Asociado;;;;;;
GUAYAS;Solo;106;97;325;303;;
;Asociado;72;72;91;44;;
LOS RÍOS;Solo;219;219;109;44;;
;Asociado;;;;;;
MANABÍ;Solo;728;728;3.746;3.674;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;67;63;96;;;
;Asociado;;;;;;
NAPO;Solo;146;146;146;136;;
;Asociado;;;;;;
ORELLANA;Solo;80;80;73;73;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
