CULTIVOS PERMANENTES;;SUPERFICIE PERDIDA (Has.);;;;;;;;ÍNDICE
;;Total;Sequía;Helada;Plagas;Enfermedades;Inundación;Otra razón;;
TOTAL NACIONAL;Solo; 47.667 ; 1.354 ; 1.405 ; 12.185 ; 9.117 ; 4.426 ; 19.182 ;;
;Asociado; 6.253 ; 48 ; 1.393 ; 926 ; 385 ; 1.825 ; 1.675 ;;
;;;;;;;;;;
AGUACATE (FRUTA FRESCA);Solo; 266 ;; 5 ; 85 ; 12 ;; 163 ;;
;Asociado;;;;;;;;;
BANANO (FRUTA FRESCA);Solo; 4.245 ; 1 ; 20 ; 517 ; 438 ; 16 ; 3.254 ;;
;Asociado; 356 ; 11 ;; 53 ;; 269 ; 23 ;;
CACAO (ALMENDRA SECA);Solo; 18.330 ; 630 ; 1.140 ; 6.552 ; 3.255 ; 1.537 ; 5.216 ;;
;Asociado; 1.761 ; 7 ; 674 ; 260 ; 65 ; 546 ; 209 ;;
CAFÉ (GRANO ORO);Solo; 1.840 ; 75 ; 189 ; 319 ; 111 ; 142 ; 1.004 ;;
;Asociado; 474 ;;; 46 ; 69 ; 260 ; 99 ;;
CAÑA DE AZÚCAR PARA AZÚCAR (TALLO FRESCO);Solo; 3.031 ;;;;;; 3.031 ;;
;Asociado;;;;;;;;;
CAÑA DE AZÚCAR PARA OTROS USOS (TALLO FRESCO);Solo; 1.080 ; 122 ; 21 ; 173 ; 76 ; 161 ; 527 ;;
;Asociado;;;;;;;;;
LIMÓN (FRUTA FRESCA);Solo; 145 ; 31 ;; 25 ; 11 ;; 78 ;;
;Asociado;;;;;;;;;
MANGO (FRUTA FRESCA);Solo; 2.041 ; 277 ;; 6 ;; 1.251 ; 507 ;;
;Asociado;;;;;;;;;
MARACUYÁ (FRUTA FRESCA);Solo; 304 ; 1 ;; 65 ; 92 ; 134 ; 12 ;;
;Asociado;;;;;;;;;
NARANJA (FRUTA FRESCA);Solo; 294 ; 64 ;;;; 36 ; 195 ;;
;Asociado; 138 ; 4 ; 63 ; 20 ; 3 ; 48 ;;;
ORITO (FRUTA FRESCA);Solo; 352 ;;; 9 ; 17 ;; 327 ;;
;Asociado; 147 ;;; 43 ; 104 ;;;;
PALMA AFRICANA (FRUTA FRESCA);Solo; 7.073 ;;; 1.117 ; 4.555 ; 127 ; 1.275 ;;
;Asociado; 290 ;;;;;; 290 ;;
PALMITO (TALLO FRESCO);Solo; 2 ;;; 2 ;;;;;
;Asociado;;;;;;;;;
PIÑA (FRUTA FRESCA);Solo; 53 ;;; 53 ;;;;;
;Asociado; 7 ;;; 7 ;;;;;
PLÁTANO (FRUTA FRESCA);Solo; 4.711 ; 62 ;; 2.331 ; 257 ; 868 ; 1.194 ;;
;Asociado; 2.682 ;; 607 ; 364 ; 144 ; 702 ; 865 ;;
TOMATE DE ÁRBOL (FRUTA FRESCA);Solo; 39 ; 3 ;; 25 ; 6 ;; 4 ;;
;Asociado; 4 ;;; 4 ;;;;;
OTROS PERMANENTES;Solo; 3.860 ; 88 ; 30 ; 906 ; 287 ; 154 ; 2.395 ;;
;Asociado; 394 ; 27 ; 49 ; 131 ;;; 188 ;;
;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;
