Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;48.022;44.619;49.490;35.539;;
REGIÓN SIERRA;;46.851;43.492;46.714;33.060;;
REGIÓN COSTA;;906;863;2.704;2.473;;
REGIÓN AMAZÓNICA;;243;243;64;;;
ZONA NO DELIMITADA;;21;21;7;6;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;2.201;2.051;1.496;393;;
;Asociado;2.262;1.977;1.230;152;;
BOLÍVAR;Solo;14.225;13.919;19.290;17.132;;
;Asociado;1.261;1.224;804;658;;
CAÑAR;Solo;1.670;1.497;886;497;;
;Asociado;1.125;1.010;663;149;;
CARCHI;Solo;185;185;277;234;;
;Asociado;;;;;;
COTOPAXI;Solo;6.377;5.171;6.030;3.951;;
;Asociado;246;170;283;154;;
CHIMBORAZO;Solo;7.195;6.794;8.426;6.810;;
;Asociado;409;345;379;302;;
IMBABURA;Solo;2.052;1.990;1.042;419;;
;Asociado;1.072;1.037;463;83;;
LOJA;Solo;2.521;2.285;2.321;1.196;;
;Asociado;2.380;2.216;1.593;375;;
PICHINCHA;Solo;1.376;1.349;1.081;378;;
;Asociado;73;73;69;7;;
TUNGURAHUA;Solo;216;192;378;172;;
;Asociado;5;5;3;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;241;207;131;58;;
;Asociado;191;182;151;23;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;400;400;2.166;2.158;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;39;39;127;106;;
SANTA ELENA;Solo;35;35;128;128;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;44;44;15;;;
;Asociado;199;199;49;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;21;21;7;6;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
