Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;19.658;18.970;119.431;101.060;;
REGIÓN SIERRA;;5.478;5.416;69.938;68.579;;
REGIÓN COSTA;;4.190;3.802;22.599;16.469;;
REGIÓN AMAZÓNICA;;9.990;9.753;26.895;16.012;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;9;7;33;;;
;Asociado;;;;;;
BOLÍVAR;Solo;;;;;;
;Asociado;;;;;;
CAÑAR;Solo;117;117;319;292;;
;Asociado;79;20;4;;;
CARCHI;Solo;12;12;21;16;;
;Asociado;;;;;;
COTOPAXI;Solo;49;49;224;220;;
;Asociado;;;;;;
CHIMBORAZO;Solo;;;;;;
;Asociado;;;;;;
IMBABURA;Solo;154;154;1.022;590;;
;Asociado;10;10;78;78;;
LOJA;Solo;231;229;925;643;;
;Asociado;7;7;37;30;;
PICHINCHA;Solo;90;90;1.755;1.607;;
;Asociado;50;50;85;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;4.557;4.557;63.591;63.259;;
;Asociado;114;114;1.843;1.843;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;399;271;383;96;;
;Asociado;;;;;;
GUAYAS;Solo;154;26;65;65;;
;Asociado;;;;;;
LOS RÍOS;Solo;2.030;1.898;13.645;13.304;;
;Asociado;;;;;;
MANABÍ;Solo;1.087;1.087;5.627;2.569;;
;Asociado;519;519;2.875;434;;
SANTA ELENA;Solo;1;1;3;2;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;2.116;2.080;8.811;5.882;;
;Asociado;322;322;801;540;;
NAPO;Solo;2.923;2.903;6.530;5.733;;
;Asociado;55;55;120;108;;
ORELLANA;Solo;1.351;1.325;3.505;573;;
;Asociado;227;218;296;79;;
PASTAZA;Solo;1.368;1.350;3.313;982;;
;Asociado;632;587;968;78;;
SUCUMBÍOS;Solo;519;469;1.647;1.559;;
;Asociado;135;135;218;187;;
ZAMORA CHINCHIPE;Solo;313;293;663;282;;
;Asociado;30;15;23;9;;
    ;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
