Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;;ÍNDICE
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;TOTAL NACIDOS (Machos y hembras);;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;
TOTAL NACIONAL;3.723.196;1.195.458;477.902;449.464;268.092;2.527.738;489.703;594.492;1.443.542;822.373;;
REGIÓN SIERRA;2.039.677;686.261;266.966;246.282;173.012;1.353.416;269.077;280.764;803.575;457.753;;
REGIÓN COSTA;1.363.680;379.014;173.244;141.972;63.798;984.666;184.061;267.676;532.929;299.527;;
REGIÓN AMAZÓNICA;318.957;129.596;37.665;60.938;30.992;189.361;36.518;45.938;106.905;65.053;;
ZONA NO DELIMITADA;882;588;26;272;290;294;47;115;132;40;;
;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;
AZUAY;258.359;72.857;32.214;18.214;22.429;185.502;36.708;43.330;105.464;71.446;;
BOLÍVAR;141.945;45.060;19.480;14.377;11.203;96.885;20.158;18.911;57.816;35.474;;
CAÑAR;120.959;33.184;14.072;8.783;10.329;87.775;15.420;19.944;52.411;25.876;;
CARCHI;91.010;26.591;9.259;8.956;8.376;64.418;13.045;14.510;36.863;27.152;;
COTOPAXI;292.654;121.120;38.310;53.881;28.929;171.534;32.836;32.956;105.743;45.331;;
CHIMBORAZO;343.612;135.348;60.194;42.194;32.961;208.264;41.779;42.345;124.140;70.460;;
IMBABURA;93.374;40.242;11.385;18.145;10.712;53.132;9.563;13.373;30.196;16.661;;
LOJA;124.330;39.482;16.732;12.401;10.349;84.848;18.808;17.743;48.297;36.828;;
PICHINCHA;244.771;58.817;22.601;26.427;9.789;185.954;38.250;40.095;107.609;55.107;;
TUNGURAHUA;211.585;79.225;31.105;26.241;21.879;132.359;29.049;20.119;83.191;44.987;;
SANTO DOMINGO DE LOS TSÁCHILAS;117.079;34.335;11.615;16.662;6.057;82.744;13.460;17.439;51.845;28.429;;
;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;
EL ORO;112.805;36.508;13.569;11.042;11.897;76.297;15.128;16.627;44.543;29.664;;
ESMERALDAS;231.100;84.509;26.556;44.281;13.671;146.591;27.676;38.505;80.411;46.731;;
GUAYAS;220.156;50.419;24.599;18.460;7.360;169.737;25.554;52.105;92.077;43.222;;
LOS RÍOS;70.532;16.757;8.031;5.629;3.098;53.775;10.624;14.365;28.787;15.678;;
MANABÍ;727.201;190.377;100.381;62.464;27.532;536.824;104.936;145.684;286.205;164.100;;
SANTA ELENA;1.886;445;109;95;240;1.441;144;391;906;132;;
;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;
MORONA SANTIAGO;95.073;29.930;11.504;10.701;7.725;65.142;13.386;13.978;37.778;25.984;;
NAPO;14.954;6.279;1.174;3.478;1.627;8.675;1.135;2.257;5.282;2.767;;
ORELLANA;52.640;25.155;5.454;13.252;6.449;27.484;4.781;6.883;15.821;4.363;;
PASTAZA;16.350;5.844;1.496;1.544;2.805;10.507;2.484;2.122;5.901;4.023;;
SUCUMBÍOS;80.865;34.422;7.897;20.565;5.960;46.443;8.960;12.326;25.157;16.266;;
ZAMORA CHINCHIPE;59.076;27.965;10.141;11.398;6.426;31.111;5.773;8.372;16.967;11.649;;
;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;
ZONA NO DELIMITADA;882;588;26;272;290;294;47;115;132;40;;
;;;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;;;
