;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia; TOTAL ; GANADO VACUNO ;;;;;;;;;ÍNDICE;;;
;; SUBTOTAL ; MACHOS ;;; SUBTOTAL ; HEMBRAS ;;;;;;;
;;; De menos de 1 año de edad (Terneros) ; De 1 año a menos de 2 años de edad (Toretes) ; De 2 o más años de edad (Toros)  ;; De menos de 1 año de edad (Terneras) ; De 1 año a menos de 2 años de edad (Vaconas) ; De 2 o más años de edad (Vacas) ;;;;;
TOTAL NACIONAL;136.704;53.701;33.155;13.679;6.867;83.003;19.823;14.970;48.210;;;;;
REGIÓN SIERRA;92.712;36.664;22.870;9.204;4.590;56.048;14.172;10.137;31.739;;;;;
REGIÓN COSTA;30.597;11.482;8.015;2.687;781;19.114;4.563;3.200;11.351;;;;;
REGIÓN AMAZÓNICA;13.358;5.523;2.269;1.761;1.492;7.835;1.088;1.633;5.114;;;;;
ZONA NO DELIMITADA;37;32;;27;4;6;;;6;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY;10.070;4.080;2.364;1.029;687;5.990;825;1.725;3.441;;;;;
BOLÍVAR;6.615;2.102;1.346;601;154;4.513;628;1.053;2.832;;;;;
CAÑAR;7.160;2.881;1.290;1.161;430;4.279;776;1.241;2.262;;;;;
CARCHI;4.587;1.669;1.317;241;110;2.918;974;388;1.556;;;;;
COTOPAXI;11.053;4.730;2.428;1.800;502;6.323;1.659;771;3.893;;;;;
CHIMBORAZO;15.475;6.708;5.536;782;390;8.767;3.136;1.104;4.528;;;;;
IMBABURA;5.176;2.467;963;1.220;284;2.709;793;332;1.584;;;;;
LOJA;7.751;2.556;1.207;778;571;5.195;857;1.050;3.288;;;;;
PICHINCHA;13.355;4.435;3.108;801;525;8.920;2.746;1.586;4.589;;;;;
TUNGURAHUA;9.378;4.392;2.856;692;844;4.986;1.272;564;3.150;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;2.092;645;455;99;91;1.447;507;323;618;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO;3.777;1.711;970;377;364;2.066;679;350;1.037;;;;;
ESMERALDAS;6.682;2.804;1.797;958;49;3.877;974;776;2.128;;;;;
GUAYAS;4.232;2.002;1.366;599;37;2.230;533;674;1.023;;;;;
LOS RÍOS;1.059;339;247;42;50;720;30;116;574;;;;;
MANABÍ;14.798;4.602;3.612;710;280;10.196;2.348;1.284;6.565;;;;;
SANTA ELENA;49;23;22;1;;25;;;25;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO;3.684;991;296;525;170;2.694;75;609;2.010;;;;;
NAPO;767;415;257;64;94;352;205;1;146;;;;;
ORELLANA;972;315;165;46;104;657;15;;642;;;;;
PASTAZA;573;280;111;;170;293;;68;225;;;;;
SUCUMBÍOS;2.805;1.428;691;679;58;1.377;346;268;764;;;;;
ZAMORA CHINCHIPE;4.556;2.093;748;447;898;2.463;447;688;1.328;;;;;
;;;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;;
ZONA NO DELIMITADA;37;32;;27;4;6;;;6;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;;;;;
