;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÍNDICE;;;;;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;;;;;
TOTAL NACIONAL; 30.799 ; 14.698 ; 2.820 ; 5.636 ; 6.243 ; 16.101 ; 2.420 ; 2.119 ; 11.561 ;;;;;;;;;
REGIÓN SIERRA; 12.538 ; 5.836 ; 1.256 ; 1.108 ; 3.472 ; 6.702 ; 1.094 ; 357 ; 5.251 ;;;;;;;;;
REGIÓN COSTA; 17.592 ; 8.534 ; 1.486 ; 4.299 ; 2.749 ; 9.057 ; 1.210 ; 1.743 ; 6.104 ;;;;;;;;;
REGIÓN AMAZÓNICA; 663 ; 328 ; 77 ; 229 ; 22 ; 335 ; 117 ; 19 ; 199 ;;;;;;;;;
ZONA NO DELIMITADA; 6 ;;;;; 6 ;;; 6 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;;;;;
AZUAY; 1.280 ; 513 ; 13 ; 160 ; 341 ; 767 ; 258 ; 8 ; 501 ;;;;;;;;;
BOLÍVAR; 176 ; 103 ; 77 ; 22 ; 4 ; 73 ;; 56 ; 17 ;;;;;;;;;
CAÑAR; 467 ; 174 ; 83 ;; 92 ; 293 ; 123 ;; 170 ;;;;;;;;;
CARCHI; 110 ; 36 ; 36 ;;; 74 ;;; 74 ;;;;;;;;;
COTOPAXI; 1.447 ; 545 ; 210 ; 282 ; 52 ; 902 ; 415 ; 10 ; 477 ;;;;;;;;;
CHIMBORAZO; 4.908 ; 2.027 ; 536 ; 231 ; 1.260 ; 2.880 ; 278 ;; 2.602 ;;;;;;;;;
IMBABURA; 85 ;;;;; 85 ;;; 85 ;;;;;;;;;
LOJA; 177 ; 13 ;; 0 ; 12 ; 164 ;; 29 ; 135 ;;;;;;;;;
PICHINCHA; 924 ; 398 ; 19 ; 331 ; 48 ; 526 ;; 67 ; 459 ;;;;;;;;;
TUNGURAHUA; 2.859 ; 1.982 ; 249 ; 70 ; 1.662 ; 877 ;; 163 ; 714 ;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 106 ; 44 ; 34 ; 11 ;; 62 ; 20 ; 23 ; 19 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;;;;;
EL ORO; 5.220 ; 2.133 ; 412 ; 592 ; 1.128 ; 3.088 ; 551 ; 863 ; 1.673 ;;;;;;;;;
ESMERALDAS; 3.482 ; 767 ; 249 ; 486 ; 32 ; 2.715 ; 149 ; 55 ; 2.511 ;;;;;;;;;
GUAYAS; 234 ; 147 ; 3 ; 144 ;; 87 ; 3 ;; 84 ;;;;;;;;;
LOS RÍOS; 662 ; 406 ;; 161 ; 245 ; 255 ;; 29 ; 226 ;;;;;;;;;
MANABÍ; 7.994 ; 5.081 ; 822 ; 2.916 ; 1.343 ; 2.913 ; 507 ; 796 ; 1.611 ;;;;;;;;;
SANTA ELENA;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;;;;;
MORONA SANTIAGO; 176 ; 99 ; 37 ; 63 ;; 77 ; 42 ; 7 ; 29 ;;;;;;;;;
NAPO; 18 ; 18 ; 8 ; 7 ; 3 ;;;;;;;;;;;;;
ORELLANA; 177 ; 54 ; 1 ; 53 ;; 123 ;; 2 ; 121 ;;;;;;;;;
PASTAZA; 20 ; 7 ;;; 7 ; 13 ;; 5 ; 8 ;;;;;;;;;
SUCUMBÍOS; 251 ; 139 ; 32 ; 107 ;; 112 ; 75 ; 6 ; 31 ;;;;;;;;;
ZAMORA CHINCHIPE; 23 ; 11 ;;; 11 ; 11 ;;; 11 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;;;;;;
ZONA NO DELIMITADA; 6 ;;;;; 6 ;;; 6 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;;;;;;;;;
