;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÍNDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;
TOTAL NACIONAL; 645.541 ; 329.868 ; 89.235 ; 138.947 ; 101.685 ; 315.673 ; 29.840 ; 138.432 ; 147.401 ;;;;;
REGIÓN SIERRA; 391.485 ; 183.414 ; 64.299 ; 61.731 ; 57.384 ; 208.070 ; 18.494 ; 109.664 ; 79.912 ;;;;;
REGIÓN COSTA; 205.525 ; 112.195 ; 21.064 ; 66.231 ; 24.900 ; 93.330 ; 10.088 ; 26.124 ; 57.117 ;;;;;
REGIÓN AMAZÓNICA; 48.503 ; 34.230 ; 3.872 ; 10.985 ; 19.373 ; 14.273 ; 1.258 ; 2.644 ; 10.372 ;;;;;
ZONA NO DELIMITADA; 29 ; 29 ;;; 29 ;;;;;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY; 35.551 ; 18.126 ; 6.843 ; 4.793 ; 6.491 ; 17.425 ; 4.145 ; 4.160 ; 9.120 ;;;;;
BOLÍVAR; 20.930 ; 12.180 ; 1.316 ; 8.997 ; 1.867 ; 8.750 ; 213 ; 730 ; 7.807 ;;;;;
CAÑAR; 14.503 ; 7.460 ; 3.269 ; 1.932 ; 2.258 ; 7.043 ; 1.120 ; 1.495 ; 4.428 ;;;;;
CARCHI; 25.853 ; 14.118 ; 8.024 ; 2.333 ; 3.761 ; 11.735 ; 873 ; 8.082 ; 2.780 ;;;;;
COTOPAXI; 41.925 ; 27.084 ; 4.993 ; 12.707 ; 9.384 ; 14.841 ; 1.446 ; 1.289 ; 12.106 ;;;;;
CHIMBORAZO; 123.240 ; 23.439 ; 7.488 ; 10.036 ; 5.914 ; 99.801 ; 2.235 ; 85.316 ; 12.251 ;;;;;
IMBABURA; 19.366 ; 14.004 ; 2.780 ; 1.953 ; 9.272 ; 5.362 ; 612 ; 800 ; 3.951 ;;;;;
LOJA; 18.155 ; 9.783 ; 2.462 ; 2.971 ; 4.350 ; 8.372 ; 707 ; 1.565 ; 6.100 ;;;;;
PICHINCHA; 42.183 ; 27.550 ; 13.601 ; 6.813 ; 7.136 ; 14.633 ; 1.157 ; 2.082 ; 11.394 ;;;;;
TUNGURAHUA; 23.297 ; 14.357 ; 7.505 ; 1.703 ; 5.149 ; 8.940 ; 2.158 ; 994 ; 5.787 ;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 26.482 ; 15.313 ; 6.017 ; 7.493 ; 1.802 ; 11.169 ; 3.828 ; 3.152 ; 4.189 ;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO; 24.014 ; 13.559 ; 2.042 ; 5.008 ; 6.509 ; 10.455 ; 1.051 ; 1.831 ; 7.572 ;;;;;
ESMERALDAS; 45.959 ; 28.722 ; 2.690 ; 13.815 ; 12.216 ; 17.238 ; 2.017 ; 7.001 ; 8.220 ;;;;;
GUAYAS; 28.186 ; 16.049 ; 2.181 ; 13.150 ; 718 ; 12.137 ; 947 ; 3.406 ; 7.783 ;;;;;
LOS RÍOS; 8.467 ; 3.543 ; 530 ; 2.522 ; 491 ; 4.924 ; 290 ; 2.167 ; 2.467 ;;;;;
MANABÍ; 98.688 ; 50.240 ; 13.622 ; 31.728 ; 4.891 ; 48.448 ; 5.782 ; 11.718 ; 30.947 ;;;;;
SANTA ELENA; 212 ; 83 ;; 8 ; 75 ; 129 ;; 2 ; 128 ;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO; 17.280 ; 9.559 ; 1.049 ; 4.069 ; 4.442 ; 7.721 ; 1.108 ; 1.746 ; 4.868 ;;;;;
NAPO; 3.416 ; 3.218 ; 1.587 ;; 1.631 ; 198 ; 13 ;; 184 ;;;;;
ORELLANA; 3.337 ; 2.183 ; 221 ; 863 ; 1.099 ; 1.153 ; 4 ; 115 ; 1.034 ;;;;;
PASTAZA; 970 ; 659 ; 132 ; 194 ; 333 ; 310 ; 7 ;; 304 ;;;;;
SUCUMBÍOS; 12.300 ; 9.949 ; 732 ; 4.589 ; 4.628 ; 2.352 ; 92 ; 579 ; 1.681 ;;;;;
ZAMORA CHINCHIPE; 11.200 ; 8.662 ; 151 ; 1.270 ; 7.240 ; 2.539 ; 34 ; 203 ; 2.301 ;;;;;
;;;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;;
ZONA NO DELIMITADA; 29 ; 29 ;;; 29 ;;;;;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;;;;;
