;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;;;;ÍNDICE
;;Brown Swiss;Brahman o cebú;Holstein Friesian;Jersey;Mestizos;Criollos;Girolando;Gyr;Charolains;Angus;Otra raza;;
TOTAL NACIONAL;3.723.196;218.351;456.443;423.122;91.609;1.313.275;845.112;113.732;69.747;93.440;14.393;83.973;;
REGIÓN SIERRA;2.039.677;113.632;79.009;360.662;63.742;728.129;605.701;15.863;9.799;13.369;10.555;39.214;;
REGIÓN COSTA;1.363.680;80.901;338.709;45.027;25.563;485.534;196.958;81.837;57.774;9.554;3.730;38.094;;
REGIÓN AMAZÓNICA;318.957;23.570;38.725;17.012;2.304;99.560;42.292;16.032;2.173;70.517;108;6.665;;
ZONA NO DELIMITADA;882;248;;421;;52;161;;;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY;258.359;6.647;4.174;48.182;4.387;84.127;104.535;1.497;110;1.257;369;3.073;;
BOLÍVAR;141.945;27.572;10.881;7.771;5.027;54.954;32.200;1.011;1.988;196;249;96;;
CAÑAR;120.959;2.597;812;22.602;3.665;38.839;49.200;;70;2.099;305;770;;
CARCHI;91.010;1.224;1.656;30.435;1.115;32.568;19.227;347;;250;;4.187;;
COTOPAXI;292.654;15.803;10.479;78.185;12.029;99.164;65.047;566;1.675;1.316;1.695;6.694;;
CHIMBORAZO;343.612;23.870;2.019;40.502;8.387;108.809;152.667;2.409;445;534;193;3.776;;
IMBABURA;93.374;2.745;3.405;9.886;1.550;39.758;24.941;925;364;2.677;1.891;5.232;;
LOJA;124.330;3.711;12.328;5.485;68;52.577;48.674;177;690;384;236;;;
PICHINCHA;244.771;13.099;14.849;62.815;19.501;77.693;39.776;1.434;1.807;2.175;3.681;7.941;;
TUNGURAHUA;211.585;7.482;285;49.179;5.951;80.459;62.644;515;11;1.337;983;2.738;;
SANTO DOMINGO DE LOS TSÁCHILAS;117.079;8.882;18.122;5.620;2.063;59.180;6.791;6.981;2.640;1.143;953;4.706;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO;112.805;8.792;47.544;7.242;311;27.038;13.150;2.555;806;856;98;4.413;;
ESMERALDAS;231.100;14.092;70.223;7.353;1.888;75.747;30.931;19.929;2.134;1.695;884;6.223;;
GUAYAS;220.156;8.096;48.504;6.827;1.731;118.842;18.838;4.972;1.727;2.362;846;7.411;;
LOS RÍOS;70.532;5.902;16.111;2.434;1.694;27.577;8.273;4.101;2.466;740;348;887;;
MANABÍ;727.201;43.991;155.138;21.168;19.938;235.974;125.716;50.280;50.623;3.901;1.554;18.919;;
SANTA ELENA;1.886;27;1.189;4;;357;50;;18;;;241;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO;95.073;6.195;105;1.673;273;29.895;5.644;7;861;48.788;108;1.524;;
NAPO;14.954;1.755;2.863;3.984;770;2.163;1.467;16;63;1.761;;111;;
ORELLANA;52.640;6.766;17.513;1.152;139;14.216;8.014;166;99;1.057;;3.518;;
PASTAZA;16.350;4.564;47;2.556;265;1.627;120;551;;5.413;;1.209;;
SUCUMBÍOS;80.865;2.859;17.442;2.002;668;32.688;15.959;7.482;1.136;380;;249;;
ZAMORA CHINCHIPE;59.076;1.432;756;5.645;188;18.970;11.088;7.810;15;13.118;;54;;
;;;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;;
ZONA NO DELIMITADA;882;248;;421;;52;161;;;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;;;;;
