;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;GANADO PORCINO;;;;;;;ÍNDICE;;;
;TOTAL;EXISTENCIA1 (Machos y Hembras);;TOTAL;VENTAS2 (Machos y Hembras);;;;;;
;;Menores de 2 meses de edad;Mayores de 2 meses de edad;;Menores de 2 meses de edad;Mayores de 2 meses de edad;;;;;
TOTAL NACIONAL;983.999;336.610;647.389;490.978;124.787;366.191;;;;;
REGIÓN SIERRA;668.019;230.642;437.377;353.986;98.249;255.737;;;;;
REGIÓN COSTA;280.827;93.793;187.034;116.674;26.125;90.549;;;;;
REGIÓN AMAZÓNICA;35.154;12.175;22.979;20.318;412;19.906;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;42.531;17.148;25.383;16.056;7.021;9.035;;;;;
BOLÍVAR;31.637;9.387;22.250;3.617;154;3.462;;;;;
CAÑAR;17.445;7.010;10.435;13.490;6.658;6.832;;;;;
CARCHI;37.044;12.368;24.677;22.773;0;22.773;;;;;
COTOPAXI;83.199;26.654;56.545;52.038;22.460;29.578;;;;;
CHIMBORAZO;63.758;16.107;47.651;14.601;5.119;9.482;;;;;
IMBABURA;122.087;45.094;76.994;72.173;132;72.041;;;;;
LOJA;22.186;6.713;15.473;11.330;6.863;4.466;;;;;
PICHINCHA;23.412;7.586;15.826;6.838;2.562;4.275;;;;;
TUNGURAHUA;50.165;13.591;36.574;8.664;421;8.243;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;174.554;68.985;105.569;132.407;46.858;85.549;;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;43.562;16.245;27.317;19.212;3.455;15.757;;;;;
ESMERALDAS;24.246;6.889;17.357;4.047;1.784;2.263;;;;;
GUAYAS;80.093;21.830;58.262;38.031;2.595;35.437;;;;;
LOS RÍOS;27.756;11.465;16.291;8.766;1.708;7.058;;;;;
MANABÍ;94.578;36.855;57.723;36.617;16.584;20.034;;;;;
SANTA ELENA;10.592;509;10.083;10.000;;10.000;;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;8.147;1.672;6.475;1.736;20;1.716;;;;;
NAPO;4.548;2.431;2.117;344;;344;;;;;
ORELLANA;7.382;2.897;4.485;8.195;;8.195;;;;;
PASTAZA;4.248;2.452;1.796;686;303;383;;;;;
SUCUMBÍOS;7.207;2.364;4.843;959;;959;;;;;
ZAMORA CHINCHIPE;3.623;359;3.263;8.399;89;8.310;;;;;
;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;;
;;;;;;;;;;;
(1) Para existencia el periodo de referencia es el día de la entrevista;;;;;;;;;;;
(2) Para ventas el período de referencia es del 1 de julio al 30 de septiembre 2023;;;;;;;;;;;
