;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Región y Provincia;TOTAL;GANADO PORCINO;;;;ÍNDICE;;;
;;De Raza;Mestizo;Criollo;;;;;
TOTAL NACIONAL;983.999;584.441;192.065;207.493;;;;;
REGIÓN SIERRA;668.019;423.222;113.896;130.900;;;;;
REGIÓN COSTA;280.827;145.785;67.005;68.037;;;;;
REGIÓN AMAZÓNICA;35.154;15.434;11.164;8.556;;;;;
ZONA NO DELIMITADA;;;;;;;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
AZUAY;42.531;24.746;4.333;13.452;;;;;
BOLÍVAR;31.637;3.632;12.590;15.415;;;;;
CAÑAR;17.445;6.492;4.623;6.329;;;;;
CARCHI;37.044;34.992;725;1.328;;;;;
COTOPAXI;83.199;41.896;22.954;18.349;;;;;
CHIMBORAZO;63.758;12.793;17.068;33.897;;;;;
IMBABURA;122.087;109.309;9.060;3.718;;;;;
LOJA;22.186;5.089;4.073;13.024;;;;;
PICHINCHA;23.412;7.726;7.209;8.476;;;;;
TUNGURAHUA;50.165;18.306;17.342;14.517;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;174.554;158.240;13.920;2.394;;;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
EL ORO;43.562;36.705;2.256;4.600;;;;;
ESMERALDAS;24.246;4.966;9.634;9.646;;;;;
GUAYAS;80.093;57.752;8.538;13.803;;;;;
LOS RÍOS;27.756;8.627;12.928;6.201;;;;;
MANABÍ;94.578;27.214;33.642;33.723;;;;;
SANTA ELENA;10.592;10.521;7;64;;;;;
;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;
MORONA SANTIAGO;8.147;474;4.905;2.768;;;;;
NAPO;4.548;2.357;1.951;240;;;;;
ORELLANA;7.382;4.522;1.411;1.450;;;;;
PASTAZA;4.248;3.008;961;279;;;;;
SUCUMBÍOS;7.207;2.468;1.357;3.382;;;;;
ZAMORA CHINCHIPE;3.623;2.606;579;438;;;;;
;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;
;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;
