;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Región y Provincia;GANADO DE OTRAS ESPECIES (Machos y Hembras de toda edad);;;;;ÍNDICE;;;
;Asnal;Caballar;Mular;Caprino;;;;;
TOTAL NACIONAL;33.971;143.391;54.067;28.641;;;;;
REGIÓN SIERRA;25.082;72.926;14.285;25.647;;;;;
REGIÓN COSTA;8.052;56.663;37.216;2.977;;;;;
REGIÓN AMAZÓNICA;837;13.721;2.543;17;;;;;
ZONA NO DELIMITADA;;81;23;;;;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
AZUAY;758;12.298;851;1.693;;;;;
BOLÍVAR;813;6.027;4.608;218;;;;;
CAÑAR;528;2.528;413;55;;;;;
CARCHI;113;4.996;98;60;;;;;
COTOPAXI;3.636;7.380;1.664;4.010;;;;;
CHIMBORAZO;11.677;5.291;270;1.383;;;;;
IMBABURA;728;7.170;621;318;;;;;
LOJA;3.348;7.975;2.171;15.053;;;;;
PICHINCHA;385;11.899;1.058;2.461;;;;;
TUNGURAHUA;2.827;5.938;545;241;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;267;1.424;1.986;156;;;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
EL ORO;434;3.882;1.059;285;;;;;
ESMERALDAS;1.476;14.022;9.810;596;;;;;
GUAYAS;651;16.138;2.546;1.156;;;;;
LOS RÍOS;304;4.204;1.254;;;;;;
MANABÍ;5.187;18.347;22.538;200;;;;;
SANTA ELENA;;71;9;741;;;;;
;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;
MORONA SANTIAGO;214;5.587;831;17;;;;;
NAPO;1;253;36;;;;;;
ORELLANA;119;1.776;221;;;;;;
PASTAZA;;565;163;;;;;;
SUCUMBÍOS;163;4.239;672;;;;;;
ZAMORA CHINCHIPE;340;1.301;621;;;;;;
;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;
ZONA NO DELIMITADA;;81;23;;;;;;
;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;
