;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Región y Provincia;TOTAL;EXISTENCIA DE AVES CRIADAS EN PLANTELES AVÍCOLAS;;;;;;;ÍNDICE;;;
;;Gallinas Ponedoras;Gallinas Reproductoras;Pollos de Engorde;Avestruces;Pavos;Codornices;;;;;
TOTAL NACIONAL;61.694.604;17.515.980;3.729.344;40.105.143;;252.917;91.220;;;;;
REGIÓN SIERRA;45.890.608;13.687.467;1.841.420;30.060.010;;220.711;81.000;;;;;
REGIÓN COSTA;11.553.636;3.322.853;736.552;7.451.805;;32.206;10.220;;;;;
REGIÓN AMAZÓNICA;4.250.360;505.659;1.151.372;2.593.329;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;
;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;
AZUAY;662.531;;245.000;417.531;;;;;;;;
BOLÍVAR;2.507;;;2.507;;;;;;;;
CAÑAR;475.798;;;475.798;;;;;;;;
CARCHI;748.675;;32.000;647.675;;69.000;;;;;;
COTOPAXI;3.184.097;2.037.342;;1.146.755;;;;;;;;
CHIMBORAZO;5.482.982;1.579.458;;3.903.524;;;;;;;;
IMBABURA;4.759.641;210.000;;4.549.641;;;;;;;;
LOJA;590.108;10.358;443.250;136.500;;;;;;;;
PICHINCHA;15.193.563;1.394.833;1.070.570;12.591.449;;136.711;;;;;;
TUNGURAHUA;8.942.230;8.369.276;;572.954;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;5.848.476;86.200;50.600;5.615.676;;15.000;81.000;;;;;
;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;
EL ORO;956.154;100.000;;846.154;;;10.000;;;;;
ESMERALDAS;;;;;;;;;;;;
GUAYAS;6.139.756;44.700;568.000;5.523.856;;3.200;;;;;;
LOS RÍOS;364.518;100;104.692;257.500;;2.006;220;;;;;
MANABÍ;1.512.168;730.014;63.860;712.294;;6.000;;;;;;
SANTA ELENA;2.581.039;2.448.039;;112.000;;21.000;;;;;;
;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;
MORONA SANTIAGO;1.042.544;834;397;1.041.312;;;;;;;;
NAPO;51.400;;51.400;;;;;;;;;
ORELLANA;800;;;800;;;;;;;;
PASTAZA;3.149.538;504.675;1.099.574;1.545.288;;;;;;;;
SUCUMBÍOS;5.928;;;5.928;;;;;;;;
ZAMORA CHINCHIPE;150;150;;;;;;;;;;
;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;
;;;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;;;
