;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;AVES CRIADAS EN CAMPO;;;;;;;;;ÍNDICE;
;GALLOS Y GALLINAS;;POLLITOS, POLLITAS, POLLOS, POLLAS;;PATOS;;PAVOS;;;;
;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;;;
TOTAL NACIONAL;168.601;798.599;58.976;106.094;14.858;25.866;1.062;961;;;
REGIÓN SIERRA;70.659;317.330;20.736;29.284;2.201;5.401;263;427;;;
REGIÓN COSTA;78.231;361.569;38.062;74.491;5.930;18.347;799;398;;;
REGIÓN AMAZÓNICA;19.692;119.626;179;2.319;6.727;2.116;;131;;;
ZONA NO DELIMITADA;21;74;;;;2;;4;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;17.257;58.918;2.706;1.984;418;256;263;275;;;
BOLÍVAR;1.636;34.583;176;6.467;204;820;;91;;;
CAÑAR;7.691;25.580;1.634;3.606;;175;;18;;;
CARCHI;509;7.817;;;;100;;;;;
COTOPAXI;12.278;40.389;2.490;1.999;1.197;909;;33;;;
CHIMBORAZO;5.139;29.373;2.684;5.056;;1.969;;10;;;
IMBABURA;1.647;13.919;819;467;230;570;;0;;;
LOJA;13.492;48.706;4.213;1.211;46;72;;;;;
PICHINCHA;4.137;20.556;1.000;850;78;3;;;;;
TUNGURAHUA;4.063;19.539;4.963;3.808;;202;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;2.810;17.950;50;3.837;29;325;;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;5.663;14.308;2.366;770;399;3;;;;;
ESMERALDAS;5.482;35.732;;3.884;;1.123;;;;;
GUAYAS;4.663;74.606;;14.673;2.652;5.125;695;;;;
LOS RÍOS;9.535;82.817;757;19.510;2.032;6.699;70;398;;;
MANABÍ;52.888;154.091;34.939;35.654;846;5.397;33;;;;
SANTA ELENA;;15;;;;;;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;5.952;16.062;0;932;5.499;352;;67;;;
NAPO;1.244;8.372;3;185;;;;;;;
ORELLANA;5.021;36.936;;353;737;606;;6;;;
PASTAZA;1.548;11.837;;264;;87;;;;;
SUCUMBÍOS;5.478;39.693;177;585;157;606;;58;;;
ZAMORA CHINCHIPE;448;6.725;;;333;465;;;;;
;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;
ZONA NO DELIMITADA;21;74;;;;2;;4;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;;
