;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;AVES CRIADAS EN PLANTELES AVÍCOLAS;;;;;;;;;;;;;ÍNDICE
;GALLINAS PONEDORAS;;GALLINAS REPRODUCTORAS;;POLLOS DE ENGORDE;;AVESTRUCES;;PAVOS;;CODORNICES;;;
;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;;
TOTAL NACIONAL;3.238.019;26;792.338;14.202;43.111.614;24.839;;;237.501;;5.000;40;;
REGIÓN SIERRA;1.917.269;16;586.916;14.200;28.318.224;23.046;;;224.101;;;;;
REGIÓN COSTA;1.320.720;;171.422;2;12.287.303;1.618;;;13.400;;5.000;40;;
REGIÓN AMAZÓNICA;30;10;34.000;;2.506.087;175;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY;;;131.000;;579.323;142;;;;;;;;
BOLÍVAR;;;;;6.268;38;;;;;;;;
CAÑAR;;;156.000;;1.252.815;28;;;;;;;;
CARCHI;;;8.000;;607.975;25;;;51.700;;;;;
COTOPAXI;195.494;;;;1.268.946;11.129;;;;;;;;
CHIMBORAZO;6.800;;;;3.103.952;7.231;;;;;;;;
IMBABURA;14.500;;;;5.469.775;94;;;;;;;;
LOJA;2.000;;2.216;;185.020;32;;;;;;;;
PICHINCHA;276.800;;275.200;14.200;12.904.742;690;;;157.801;;;;;
TUNGURAHUA;1.417.875;16;7.000;;391.065;438;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;3.800;;7.500;;2.548.342;3.200;;;14.600;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO;33.000;;;;1.830.717;860;;;;;5.000;;;
ESMERALDAS;;;;;;;;;;;;;;
GUAYAS;;;;;8.516.976;10;;;13.400;;;;;
LOS RÍOS;;;26.422;;282.495;500;;;;;;40;;
MANABÍ;63.700;;145.000;2;1.468.114;248;;;;;;;;
SANTA ELENA;1.224.020;;;;189.000;;;;;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO;;;;;1.047.499;175;;;;;;;;
NAPO;;;;;;;;;;;;;;
ORELLANA;;;;;500;;;;;;;;;
PASTAZA;;;34.000;;1.457.288;;;;;;;;;
SUCUMBÍOS;;;;;800;;;;;;;;;
ZAMORA CHINCHIPE;30;10;;;;;;;;;;;;
;;;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;;;;;
