;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Región y Provincia;NÚMERO TOTAL DE VACAS ORDEÑADAS;PRODUCCIÓN TOTAL DE LECHE (Litros);Destino Principal de la leche (litros);;;;;;;ÍNDICE;;;
;;;Vendida en líquido;Consumo en los terrenos ;Alimentación al balde;Procesada en los terrenos ;Destinada a otros fines;Desperdiciada;;;;;
;;;;;;;;;;;;;
TOTAL NACIONAL;841.529;5.581.133;4.296.284;311.351;100.175;841.442;23.944;7.937;;;;;
REGIÓN SIERRA;564.662;4.339.952;3.717.866;209.583;76.016;321.952;11.729;2.807;;;;;
REGIÓN COSTA;236.835;1.019.113;475.833;77.300;12.987;438.222;9.896;4.874;;;;;
REGIÓN AMAZÓNICA;39.958;221.566;102.202;24.348;11.172;81.268;2.319;257;;;;;
ZONA NO DELIMITADA;73;502;383;119;;;;;;;;;
;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;
AZUAY;73.115;467.424;364.236;43.598;5.813;52.384;849;544;;;;;
BOLÍVAR;37.458;164.927;71.300;20.203;276;73.144;3;;;;;;
CAÑAR;41.386;327.890;301.445;15.324;2.415;4.004;4.702;;;;;;
CARCHI;28.392;285.074;268.630;4.993;10.107;1.186;157;;;;;;
COTOPAXI;79.946;657.756;625.825;17.520;9.309;3.318;1.672;112;;;;;
CHIMBORAZO;91.940;621.168;576.540;33.661;4.262;5.411;1.199;95;;;;;
IMBABURA;14.355;107.704;86.229;6.946;3.871;10.505;73;79;;;;;
LOJA;25.532;117.229;18.448;24.814;2.689;69.259;1.429;591;;;;;
PICHINCHA;72.774;758.503;704.225;16.326;28.640;7.730;248;1.335;;;;;
TUNGURAHUA;68.013;571.433;539.506;21.823;7.734;921;1.397;51;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;31.751;260.845;161.481;4.375;899;94.090;;;;;;;
;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;
EL ORO;11.920;83.183;46.439;5.196;237;31.007;304;;;;;;
ESMERALDAS;28.898;112.535;14.060;9.840;6.323;80.429;1.729;154;;;;;
GUAYAS;30.882;120.454;69.933;14.503;;36.018;;;;;;;
LOS RÍOS;12.997;71.890;35.531;5.747;283;28.893;1.437;;;;;;
MANABÍ;152.132;631.022;309.846;42.015;6.145;261.871;6.426;4.719;;;;;
SANTA ELENA;6;29;24;;;4;;;;;;;
;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;
MORONA SANTIAGO;9.258;46.406;9.109;5.967;1.746;29.584;;;;;;;
NAPO;3.649;32.398;23.528;1.860;680;6.331;;;;;;;
ORELLANA;5.477;20.748;10.296;4.373;1.261;3.637;1.182;;;;;;
PASTAZA;2.797;29.006;25.416;903;1.752;588;347;;;;;;
SUCUMBÍOS;9.334;49.953;21.248;6.523;4.202;16.937;791;252;;;;;
ZAMORA CHINCHIPE;9.443;43.054;12.605;4.723;1.530;24.192;;5;;;;;
;;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;
ZONA NO DELIMITADA;73;502;383;119;;;;;;;;;
;;;;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;;;;
