;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;HUEVOS DE MESA EN UNA SEMANA;;;;;;;;;ÍNDICE;
;AVES CRIADAS EN CAMPO;;;;AVES CRIADAS EN PLANTELES AVÍCOLAS;;;;;;
;PRODUCCIÓN;DESTINO;;;PRODUCCIÓN;DESTINO;;;;;
;;Autoconsumo;Ventas ;Otros;;Autoconsumo;Ventas ;Otros;;;
TOTAL NACIONAL;4.063.259;3.410.641;436.549;216.070;63.045.133;11.348;62.837.531;196.253;;;
REGIÓN SIERRA;2.026.137;1.751.942;194.209;79.987;58.370.068;6.266;58.340.679;23.123;;;
REGIÓN COSTA;1.524.581;1.230.805;182.050;111.726;3.167.761;4.882;3.155.842;7.037;;;
REGIÓN AMAZÓNICA;512.142;427.495;60.290;24.357;1.507.304;200;1.341.010;166.094;;;
ZONA NO DELIMITADA;399;399;;;;;;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;388.998;303.267;69.034;16.697;;;;;;;
BOLÍVAR;150.145;120.800;16.958;12.387;;;;;;;
CAÑAR;240.125;201.640;21.138;17.346;;;;;;;
CARCHI;30.461;29.968;;492;;;;;;;
COTOPAXI;217.591;204.504;6.821;6.267;6.678.049;315;6.677.734;;;;
CHIMBORAZO;242.552;220.093;13.624;8.835;991.100;60;991.040;;;;
IMBABURA;64.085;58.442;4.316;1.326;;;;;;;
LOJA;317.944;290.410;25.841;1.694;47.363;557;46.805;;;;
PICHINCHA;119.069;99.174;12.682;7.213;6.065.691;680;6.041.888;23.123;;;
TUNGURAHUA;156.581;141.939;12.904;1.738;44.176.935;4.654;44.172.281;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;98.587;81.704;10.891;5.992;410.930;;410.930;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;81.002;60.436;17.490;3.076;11.970;;11.970;;;;
ESMERALDAS;199.835;160.590;27.914;11.331;;;;;;;
GUAYAS;299.464;254.083;21.382;23.999;161.700;;161.700;;;;
LOS RÍOS;309.797;249.664;37.472;22.660;630;;630;;;;
MANABÍ;634.412;505.961;77.792;50.659;2.735.057;4.882;2.723.138;7.037;;;
SANTA ELENA;70;70;;;258.404;;258.404;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;66.588;53.445;8.926;4.217;;;;;;;
NAPO;81.554;60.131;18.632;2.791;;;;;;;
ORELLANA;152.136;124.865;23.108;4.163;;;;;;;
PASTAZA;48.331;47.303;;1.028;1.503.704;;1.337.610;166.094;;;
SUCUMBÍOS;124.645;106.144;7.672;10.829;;;;;;;
ZAMORA CHINCHIPE;38.888;35.606;1.952;1.330;3.600;200;3.400;;;;
;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;
ZONA NO DELIMITADA;399;399;;;;;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;;
