;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;TOTAL;SUPERFICIE PLANTADA (Has.);;;;;;;ÍNDICE;;
;;BRACHIARIA;GRAMALOTE;PASTO MIEL ;SABOYA;PASTO MIXTO;OTROS PASTOS CULTIVADOS;;;;
TOTAL NACIONAL;2.320.975;178.135;125.712;171.961;821.342;681.959;341.866;;;;
REGIÓN SIERRA;752.662;61.827;12.153;114.742;44.336;331.784;187.821;;;;
REGIÓN COSTA;1.180.885;109.739;4.764;47.372;744.693;192.046;82.271;;;;
REGIÓN AMAZÓNICA;386.983;6.569;108.795;9.848;32.314;157.762;71.695;;;;
ZONA NO DELIMITADA;445;;;;;367;79;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;71.055;1.536;68;400;1.640;41.322;26.089;;;;
BOLÍVAR;113.184;13.589;16;19.680;9.750;33.076;37.073;;;;
CAÑAR;45.035;895;16;312;;32.814;10.999;;;;
CARCHI;28.401;208;723;1.224;;15.632;10.614;;;;
COTOPAXI;75.890;341;193;12.354;2.353;33.302;27.347;;;;
CHIMBORAZO;67.503;306;212;961;790;36.135;29.100;;;;
IMBABURA;44.961;627;9.341;10.001;6.212;11.512;7.268;;;;
LOJA;58.063;54;492;21.572;1.871;18.362;15.713;;;;
PICHINCHA;113.588;19.548;405;28.430;6.224;48.164;10.818;;;;
TUNGURAHUA;40.120;43;46;4.568;;24.357;11.107;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;94.861;24.681;643;15.241;15.495;37.109;1.693;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;97.087;5.333;100;47.053;624;28.674;15.303;;;;
ESMERALDAS;232.472;46.297;2.626;125;111.875;58.810;12.740;;;;
GUAYAS;104.996;3.866;1.907;;52.061;27.410;19.753;;;;
LOS RÍOS;42.750;2.969;131;194;8.214;13.947;17.294;;;;
MANABÍ;702.456;51.212;;;570.866;63.205;17.172;;;;
SANTA ELENA;1.123;62;;;1.052;;10;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;151.782;814;71.939;;;56.005;23.023;;;;
NAPO;17.078;;8.046;3.125;;2.953;2.954;;;;
ORELLANA;45.375;85;216;77;9.383;27.801;7.814;;;;
PASTAZA;22.811;;14.122;;;8.466;223;;;;
SUCUMBÍOS;76.469;550;4.505;6.646;22.931;23.657;18.182;;;;
ZAMORA CHINCHIPE;73.467;5.120;9.968;;;38.881;19.499;;;;
;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;
ZONA NO DELIMITADA;445;;;;;367;79;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;;
