;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TABLA 72.1;;;;;;;;;;
PRODUCTORES QUE HAN SIDO AFECTADOS POR EVENTOS NATURALES EN LAS ACTIVIDADES AGROPECUARIAS;;;;;;;;;;
(Porcentaje);;;;;;;;;;
;;;;;;;;;;
Afectación por el Eventos Naturales;SI;NO;;;ÍNDICE;;;;;
;7,5%;92,5%;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Dificultad presentada;SI;NO;;;;;;;;
Dificultad para adquirir insumos;28,0%;72,0%;;;;;;;;
Dificultad para contratar mano de obra;22,4%;77,6%;;;;;;;;
Dificultad para trabajar en sus terrenos;67,4%;32,6%;;;;;;;;
Dificultad para ofrecer trabajo en otras fincas;14,0%;86,0%;;;;;;;;
Problemas para comercializar por falta de transporte;26,7%;73,3%;;;;;;;;
Problemas para comercializar por ausencia de compradores;19,9%;80,1%;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;
;;;;;;;;;;
TABLA 72.3;;;;;;;;;;
PRODUCTORES QUE HAN ACCEDIDO A CRÉDITO POR AFECTACIÓN DE EVENTOS NATURALES EN LAS ACTIVIDADES AGROPECUARIAS;;;;;;;;;;
;;;;;;;;;;
(Porcentaje);;;;;;;;;;
;;;;;;;;;;
Acceso a crédito para financiar actividades agropecuarias;SI;NO;;;;;;;;
;6,0%;94,0%;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Dificultad presentada;SI;NO;;;;;;;;
Ministerio de Agricultura y Ganadería;1,3%;98,7%;;;;;;;;
Secretaria de Gestión de Riesgos;0,5%;99,5%;;;;;;;;
Gobierno Central;0,3%;99,7%;;;;;;;;
Gobierno Autónomo Descentralizado Municipal;0,6%;99,4%;;;;;;;;
Gobierno Autónomo Descentralizado Provincial;0,6%;99,4%;;;;;;;;
Organización no Gubernamental;0,2%;99,8%;;;;;;;;
Otro;1,0%;99,0%;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
