ESPECIE DE FLOR;;SUPERFICIE (Has.);;Producción;Ventas (en unidades);;;;;ÍNDICE
;;Plantada o Sembrada;Cosechada o Cortada;N° total de tallos cortados;Full Tabaco;Tabaco;Bonche;Bouquet;;
TOTAL NACIONAL;Bajo invernadero; 7.276 ; 6.845 ; 4.285.973.387 ; 2.718.330 ; 15.518.059 ; 84.898.792 ; 15.213.305 ;;
;En campo abierto; 2.188 ; 1.891 ; 1.086.181.388 ; 993.448 ; 1.290.780 ; 9.969.332 ; 1.188.580 ;;
;;;;;;;;;;
FLORES PERMANENTES;;;;;;;;;;
TOTAL PERMANENTES;Bajo invernadero; 6.125 ; 5.697 ; 3.880.185.643 ; 2.686.236 ; 15.251.400 ; 77.805.068 ; 2.015.145 ;;
;En campo abierto; 1.363 ; 1.066 ; 430.407.240 ; 759.397 ; 583.312 ; 3.067.297 ; 1.188.580 ;;
CLAVEL;Bajo invernadero; 97 ; 62 ; 56.842.713 ; 129.497 ;; 741.012 ;;;
;En campo abierto; 3 ; 3 ; 6.601.065 ;;; 448.340 ;;;
GINGER;Bajo invernadero;;;;;;;;;
;En campo abierto;;;;;;;;;
GYSOPHILIA;Bajo invernadero; 15 ; 13 ; 19.375.000 ; 60.063 ;;;;;
;En campo abierto; 147 ; 126 ; 144.452.351 ; 233.367 ; 104.034 ; 951.684 ; 887.333 ;;
HELICONIAS;Bajo invernadero;;;;;;;;;
;En campo abierto;;;;;;;;;
HYPERICUM;Bajo invernadero; 7 ; 7 ; 6.980.000 ; 6.402 ; 14.062 ;;;;
;En campo abierto; 852 ; 751 ; 236.468.342 ; 508.628 ; 410.614 ; 1.143.986 ;;;
LIMONIUM;Bajo invernadero; 6 ; 3 ; 3.406.200 ; 10.152 ;;;;;
;En campo abierto; 4 ; 3 ; 2.726.884 ;; 17.116 ; 2.436 ;;;
ROSA;Bajo invernadero; 5.842 ; 5.464 ; 3.613.500.256 ; 2.420.807 ; 4.622.321 ; 75.004.453 ; 1.986.645 ;;
;En campo abierto; 160 ; 126 ; 26.672.165 ; 8.129 ; 44.673 ; 412.903 ;;;
OTRAS FLORES PERMANENTES;Bajo invernadero; 159 ; 149 ; 180.081.474 ; 59.315 ; 10.615.017 ; 2.059.604 ; 28.500 ;;
;En campo abierto; 196 ; 57 ; 13.486.434 ; 9.273 ; 6.876 ; 107.949 ; 301.247 ;;
;;;;;;;;;;
FLORES TRANSITORIAS;;;;;;;;;;
TOTAL TRANSITORIOS;Bajo invernadero; 1.151 ; 1.148 ; 405.787.744 ; 32.094 ; 266.659 ; 7.093.723 ; 13.198.160 ;;
;En campo abierto; 825 ; 824 ; 655.774.147 ; 234.050 ; 707.467 ; 6.902.035 ;;;
AMY;Bajo invernadero;;;;;;;;;
;En campo abierto;;;;;;;;;
ASTER;Bajo invernadero;;;;;;;;;
;En campo abierto; 61 ; 61 ; 60.582.011 ;; 368.883 ; 79.740 ;;;
CRISANTEMOS;Bajo invernadero; 70 ; 70 ; 91.736.780 ; 29.694 ;; 1.474.244 ; 76.998 ;;
;En campo abierto;;;;;;;;;
DELPHINIUM;Bajo invernadero; 712 ; 712 ; 164.297.180 ;; 2.879 ; 1.905.180 ; 8.184.243 ;;
;En campo abierto; 145 ; 145 ; 40.150.263 ; 2.072 ; 118.413 ; 1.020.148 ;;;
GIRASOLES;Bajo invernadero; 77 ; 77 ; 3.867.104 ;;; 317.103 ;;;
;En campo abierto; 135 ; 134 ; 29.620.711 ;; 139.944 ; 361.521 ;;;
GODETIAS;Bajo invernadero;;;;;;;;;
;En campo abierto;;;;;;;;;
LYATRIS;Bajo invernadero;;;;;;;;;
;En campo abierto; 2 ; 2 ; 1.150.110 ;;; 115.011 ;;;
OTRAS FLORES TRANSITORIAS;Bajo invernadero; 292 ; 289 ; 145.886.679 ; 2.400 ; 263.780 ; 3.397.196 ; 4.936.919 ;;
;En campo abierto; 484 ; 483 ; 524.271.052 ; 231.978 ; 80.227 ; 5.325.616 ;;;
;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;
