Región y Provincia; USO DEL SUELO (Has.) ;;;;;;;;;;ÍNDICE
; Total ; Cultivos Permanentes ; Cultivos Transitorios y Barbecho ; Descanso ; Pastos Cultivados ; Pastos Naturales ; Páramos ; Montes y Bosques ; Otros Usos ;;
TOTAL NACIONAL; 12,055,510 ; 1,345,642 ; 733,771 ; 195,633 ; 2,242,612 ; 521,436 ; 318,108 ; 5,943,231 ; 755,077 ;;
REGIÓN SIERRA; 3,656,867 ; 224,752 ; 199,406 ; 88,924 ; 794,075 ; 363,933 ; 238,517 ; 1,522,138 ; 225,122 ;;
REGIÓN COSTA; 4,649,246 ; 969,788 ; 512,824 ; 94,816 ; 1,075,452 ; 124,217 ; 10,389 ; 1,510,449 ; 351,310 ;;
REGIÓN AMAZÓNICA; 3,728,692 ; 151,102 ; 21,516 ; 11,893 ; 371,099 ; 30,611 ; 67,781 ; 2,896,369 ; 178,322 ;;
ZONA NO DELIMITADA; 20,705 ;; 24 ;; 1,987 ; 2,674 ; 1,422 ; 14,275 ; 323 ;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY; 529,737 ; 6,339 ; 9,976 ; 2,918 ; 112,208 ; 58,295 ; 23,305 ; 281,328 ; 35,369 ;;
BOLÍVAR; 279,721 ; 33,554 ; 29,823 ; 3,056 ; 101,328 ; 23,148 ; 14,281 ; 55,661 ; 18,869 ;;
CAÑAR; 222,325 ; 18,953 ; 4,390 ; 1,552 ; 63,468 ; 14,018 ; 24,427 ; 84,169 ; 11,347 ;;
CARCHI; 187,772 ; 6,863 ; 16,798 ; 2,073 ; 30,869 ; 26,009 ; 7,760 ; 90,962 ; 6,438 ;;
COTOPAXI; 384,985 ; 24,192 ; 22,302 ; 22,386 ; 67,719 ; 62,176 ; 40,039 ; 127,428 ; 18,744 ;;
CHIMBORAZO; 369,227 ; 3,240 ; 34,989 ; 23,726 ; 50,975 ; 59,461 ; 61,753 ; 109,305 ; 25,777 ;;
IMBABURA; 301,204 ; 17,243 ; 14,607 ; 6,576 ; 45,733 ; 33,837 ; 5,519 ; 151,524 ; 26,164 ;;
LOJA; 507,628 ; 8,575 ; 32,699 ; 7,356 ; 128,596 ; 18,511 ; 3,703 ; 279,059 ; 29,129 ;;
PICHINCHA; 485,993 ; 30,834 ; 15,992 ; 7,032 ; 64,044 ; 52,619 ; 42,089 ; 240,065 ; 33,318 ;;
TUNGURAHUA; 153,390 ; 5,237 ; 11,852 ; 6,722 ; 31,167 ; 15,042 ; 15,640 ; 57,983 ; 9,748 ;;
SANTO DOMINGO DE LOS TSÁCHILAS; 234,885 ; 69,723 ; 5,978 ; 5,527 ; 97,968 ; 816 ;; 44,655 ; 10,218 ;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO; 379,392 ; 63,803 ; 7,070 ; 2,567 ; 109,450 ; 3,889 ; 10,389 ; 160,899 ; 21,324 ;;
ESMERALDAS; 1,023,953 ; 189,597 ; 6,610 ; 26,033 ; 165,481 ; 37,555 ;; 550,655 ; 48,022 ;;
GUAYAS; 1,017,765 ; 251,706 ; 229,971 ; 31,569 ; 97,596 ; 29,029 ;; 251,694 ; 126,200 ;;
LOS RÍOS; 619,096 ; 257,141 ; 161,995 ; 10,885 ; 29,614 ; 16,921 ;; 88,051 ; 54,488 ;;
MANABÍ; 1,538,885 ; 203,477 ; 103,866 ; 18,350 ; 672,244 ; 34,579 ;; 408,395 ; 97,974 ;;
SANTA ELENA; 70,155 ; 4,063 ; 3,312 ; 5,412 ; 1,067 ; 2,246 ;; 50,755 ; 3,301 ;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO; 812,847 ; 10,315 ; 4,408 ; 1,167 ; 160,710 ; 1,559 ; 45,674 ; 561,621 ; 27,391 ;;
NAPO; 449,220 ; 22,887 ; 2,265 ; 476 ; 4,003 ; 3,877 ; 22,107 ; 376,126 ; 17,480 ;;
ORELLANA; 606,697 ; 34,451 ; 3,626 ; 4,805 ; 33,462 ; 16,085 ;; 472,416 ; 41,851 ;;
PASTAZA; 824,520 ; 3,012 ; 3,001 ; 2 ; 22,066 ; 2,456 ;; 765,707 ; 28,277 ;;
SUCUMBÍOS; 776,578 ; 76,958 ; 6,565 ; 5,430 ; 69,967 ; 6,635 ;; 568,632 ; 42,391 ;;
ZAMORA CHINCHIPE; 258,831 ; 3,478 ; 1,650 ; 12 ; 80,891 ;;; 151,867 ; 20,932 ;;
;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;
ZONA NO DELIMITADA; 20,705 ;; 24 ;; 1,987 ; 2,674 ; 1,422 ; 14,275 ; 323 ;;
;;;;;;;;;;;
Notas:;;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;;
Superficie con uso agropecuario: Comprende el área  ocupada por cultivos  permanentes, transitorios, pastos cultivados y naturales.;;;;;;;;;;;
Para la selección de la muestra, se tomó la variable “superficie de suelo con uso agropecuario” como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, áreas urbanas, áreas mayores a los 3000 msnm, reservas naturales (selva) y sectores amanzanados.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
