Región y Provincia;NÚMERO TOTAL DE CABEZAS (Machos y Hembras);;;;;;;;ÍNDICE
;Vacuno;Porcino ;Ovino;Asnal;Caballar;Mular ;Caprino;;
TOTAL NACIONAL;3,436,276;896,457;448,382;40,909;153,173;54,076;27,531;;
REGIÓN SIERRA;1,841,930;564,017;437,706;32,767;82,696;16,179;24,675;;
REGIÓN COSTA;1,290,199;293,282;5,963;7,573;55,865;36,004;2,807;;
REGIÓN AMAZÓNICA;302,844;39,148;4,616;559;14,512;1,882;49;;
ZONA NO DELIMITADA;1,303;10;98;11;99;10;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
AZUAY;243,746;40,167;65,331;646;14,896;1,536;2,356;;
BOLÍVAR;131,567;32,740;;1,190;5,838;4,264;159;;
CAÑAR;104,486;15,366;26,266;682;3,423;489;347;;
CARCHI;89,519;42,505;925;23;3,479;134;820;;
COTOPAXI;250,541;72,892;88,816;4,672;8,491;1,484;367;;
CHIMBORAZO;290,408;49,276;136,881;11,580;9,604;1,051;337;;
IMBABURA;91,700;113,590;11,873;1,351;7,889;898;387;;
LOJA;128,745;25,248;33,847;8,131;8,521;3,879;18,372;;
PICHINCHA;217,160;31,403;35,361;573;13,011;879;1,114;;
TUNGURAHUA;194,363;46,284;38,405;3,712;5,847;277;380;;
SANTO DOMINGO DE LOS TSÁCHILAS;99,695;94,546;;205;1,697;1,289;37;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
EL ORO;124,748;63,163;5,731;575;3,952;1,716;536;;
ESMERALDAS;209,320;14,461;232;1,081;15,797;8,032;121;;
GUAYAS;190,463;85,000;;173;10,916;2,361;113;;
LOS RÍOS;51,331;17,150;;287;4,425;1,692;135;;
MANABÍ;711,011;94,918;;5,392;20,553;22,185;1,544;;
SANTA ELENA;3,325;18,589;;65;222;19;359;;
;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;
MORONA SANTIAGO;101,375;10,234;635;100;6,145;487;;;
NAPO;11,105;4,213;1,302;19;285;148;3;;
ORELLANA;33,488;3,131;72;38;1,168;52;46;;
PASTAZA;12,352;3,190;63;;1,750;84;;;
SUCUMBÍOS;83,649;10,715;1,545;264;3,193;454;;;
ZAMORA CHINCHIPE;60,874;7,666;1,000;138;1,971;657;;;
;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;
ZONA NO DELIMITADA;1,303;10;98;11;99;10;;;
;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;
;;;;;;;;;
Nota: El período de referencia es el día de la entrevista;;;;;;;;;
