; ;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;TIPO DE CRIANZA Y ESPECIE;Existencia 1;Ventas 2;Autoconsumo 3;;ÍNDICE;;;;;;
;;;;;;;;;;;;
;AVES CRIADAS EN CAMPO;;;;;;;;;;;
;Gallos y gallinas;3,524,149;142,619;948,301;;;;;;;;
;Pollitos, Pollitas, Pollos, Pollas;2,742,461;25,176;113,491;;;;;;;;
;Patos;272,174;3,205;31,049;;;;;;;;
;Pavos;19,491;61;961;;;;;;;;
;;;;;;;;;;;;
;AVES CRIADAS EN PLANTELES AVÍCOLAS;;;;;;;;;;;
;Gallinas Ponedoras;16,216,024;3,431,807;639;;;;;;;;
;Gallinas Reproductoras;1,819,433;422,438;;;;;;;;;
;Pollos de Engorde;44,017,366;54,407,507;7,494;;;;;;;;
;Avestruces;;20,000;;;;;;;;;
;Pavos;300,897;293,740;;;;;;;;;
;Codornices;109,650;35,000;140;;;;;;;;
;;;;;;;;;;;;
;FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;;
;;;;;;;;;;;;
;Notas:;;;;;;;;;;;
;(1) Para existencia el periodo de referencia es el día de la entrevista;;;;;;;;;;;
;(2) (3) Para ventas y autoconsumo el período de referencia es del 1 de julio al 30 de septiembre 2024;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
