Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 8,924 ; 6,820 ; 34,701 ; 33,665 ;;
REGIÓN SIERRA;; 6,379 ; 4,459 ; 28,553 ; 27,634 ;;
REGIÓN COSTA;; 2,545 ; 2,361 ; 6,149 ; 6,031 ;;
REGIÓN AMAZÓNICA;;;;;;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 71 ;;;;;
;Asociado;;;;;;
BOLÍVAR;Solo; 32 ; 19 ; 42 ; 38 ;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo; 2,254 ; 1,729 ; 7,958 ; 7,937 ;;
;Asociado; 310 ; 309 ; 1,347 ; 1,347 ;;
COTOPAXI;Solo; 13 ; 1 ; 10 ; 8 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 512 ; 237 ; 592 ; 592 ;;
;Asociado;;;;;;
IMBABURA;Solo; 1,320 ; 691 ; 5,067 ; 4,190 ;;
;Asociado; 28 ;;;;;
LOJA;Solo;;;;;;
;Asociado; 31 ;;;;;
PICHINCHA;Solo; 1,278 ; 1,150 ; 12,176 ; 12,165 ;;
;Asociado; 158 ; 124 ; 598 ; 598 ;;
TUNGURAHUA;Solo; 373 ; 197 ; 762 ; 760 ;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo; 2,545 ; 2,361 ; 6,149 ; 6,031 ;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;
La categoría Banano corresponde  a la suma de banano de exportación y otros bananos;;;;;;;
