Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 180,965 ; 175,818 ; 7,558,208 ; 7,409,225 ;;
REGIÓN SIERRA;;19,035;18,177;739,075;722,528;;
REGIÓN COSTA;;161,206;157,194;6,815,031;6,684,740;;
REGIÓN AMAZÓNICA;;724;447;4,102;1,957;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;556;282;3,836;2,949;;
;Asociado;;;;;;
BOLÍVAR;Solo;5,135;5,135;61,777;56,930;;
;Asociado;308;292;1,622;1,137;;
CAÑAR;Solo;3,986;3,986;142,345;136,910;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo;7,173;7,170;506,665;505,886;;
;Asociado;;;;;;
CHIMBORAZO;Solo;;;;;;
;Asociado;;;;;;
IMBABURA;Solo;91;83;411;383;;
;Asociado;;;;;;
LOJA;Solo;563;333;3,080;996;;
;Asociado;780;462;3,083;1,328;;
PICHINCHA;Solo;11;2;3;;;
;Asociado;;;;;;
TUNGURAHUA;Solo;6;6;352;352;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;373;373;15,344;15,135;;
;Asociado;55;55;556;522;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;33,697;31,998;1,335,822;1,330,645;;
;Asociado;271;164;747;688;;
ESMERALDAS;Solo;136;120;947;311;;
;Asociado;;;;;;
GUAYAS;Solo;53,857;51,968;2,410,820;2,359,468;;
;Asociado;;;;;;
LOS RÍOS;Solo;69,309;69,007;3,011,202;2,943,113;;
;Asociado;;;;;;
MANABÍ;Solo;1,648;1,648;18,031;14,059;;
;Asociado;1,053;1,053;6,907;5,901;;
SANTA ELENA;Solo;1,236;1,236;30,556;30,556;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;228;45;891;;;
;Asociado;305;227;1,304;584;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;18;18;402;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;31;31;7;6;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;141;125;1,499;1,366;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;
;;;;;;;
Nota: La tabla 13 correspondiente al cultivo de banano es el resultado de la sumatoria entre el banano de exportación y los otros bananos.;;;;;;;
