Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 23,494 ; 18,533 ; 5,465 ; 5,335 ;;
REGIÓN SIERRA;;7,283;5,808;1,680;1,584;;
REGIÓN COSTA;;4,416;3,699;1,253;1,222;;
REGIÓN AMAZÓNICA;;11,795;9,026;2,532;2,528;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;52;28;17;14;;
;Asociado;;;;;;
BOLÍVAR;Solo;166;166;62;62;;
;Asociado;813;717;120;120;;
CAÑAR;Solo;1;1;0;;;
;Asociado;;;;;;
CARCHI;Solo;122;43;57;48;;
;Asociado;;;;;;
COTOPAXI;Solo;179;148;60;60;;
;Asociado;;;;;;
CHIMBORAZO;Solo;19;19;2;2;;
;Asociado;48;;;;;
IMBABURA;Solo;388;344;207;204;;
;Asociado;167;133;35;33;;
LOJA;Solo;1,426;944;251;202;;
;Asociado;799;520;256;225;;
PICHINCHA;Solo;383;274;121;120;;
;Asociado;2,197;2,024;298;298;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;444;369;125;125;;
;Asociado;78;78;70;70;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;397;300;62;50;;
;Asociado;145;89;8;4;;
ESMERALDAS;Solo;82;;;;;
;Asociado;274;172;7;7;;
GUAYAS;Solo;43;38;11;11;;
;Asociado;;;;;;
LOS RÍOS;Solo;1;1;0;0;;
;Asociado;;;;;;
MANABÍ;Solo;2,183;1,933;933;932;;
;Asociado;1,243;1,117;217;204;;
SANTA ELENA;Solo;49;49;15;15;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;110;98;75;73;;
;Asociado;188;0;1;;;
NAPO;Solo;533;485;264;263;;
;Asociado;299;239;185;185;;
ORELLANA;Solo;3,552;2,700;699;699;;
;Asociado;2;2;1;1;;
PASTAZA;Solo;56;4;0;0;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;4,803;3,896;923;922;;
;Asociado;1,023;885;163;163;;
ZAMORA CHINCHIPE;Solo;1,150;678;216;216;;
;Asociado;78;40;6;6;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;
