Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;8,122;5,676;47,426;46,691;;
REGIÓN SIERRA;;1,553;1,166;9,114;9,105;;
REGIÓN COSTA;;6,544;4,511;38,312;37,586;;
REGIÓN AMAZÓNICA;;25;;;;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;;;;;;
BOLÍVAR;Solo;;;;;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;62;32;128;128;;
;Asociado;43;;;;;
COTOPAXI;Solo;;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo;;;;;;
;Asociado;;;;;;
IMBABURA;Solo;54;10;66;66;;
;Asociado;18;7;8;8;;
LOJA;Solo;94;94;806;806;;
;Asociado;;;;;;
PICHINCHA;Solo;137;50;883;883;;
;Asociado;117;17;55;55;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;1,007;954;7,161;7,152;;
;Asociado;18;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;199;129;1,832;1,832;;
;Asociado;;;;;;
ESMERALDAS;Solo;2,650;1,315;12,365;12,365;;
;Asociado;1,305;1,160;12,878;12,878;;
GUAYAS;Solo;127;127;385;383;;
;Asociado;;;;;;
LOS RÍOS;Solo;70;29;104;104;;
;Asociado;;;;;;
MANABÍ;Solo;1,685;1,344;8,253;7,571;;
;Asociado;274;204;1,080;1,070;;
SANTA ELENA;Solo;234;203;1,415;1,383;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;25;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;
