Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;5,655;5,270;27,445;21,919;;
REGIÓN SIERRA;;4,361;4,143;21,122;18,136;;
REGIÓN COSTA;;363;357;2,924;2,710;;
REGIÓN AMAZÓNICA;;931;770;3,400;1,073;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;61;61;498;378;;
;Asociado;;;;;;
BOLÍVAR;Solo;537;533;3,111;2,383;;
;Asociado;139;139;730;696;;
CAÑAR;Solo;3;1;8;7;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo;673;671;2,436;2,425;;
;Asociado;1,163;1,163;4,366;3,650;;
CHIMBORAZO;Solo;664;542;2,980;2,980;;
;Asociado;1;1;2;;;
IMBABURA;Solo;110;110;112;;;
;Asociado;;;;;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo;;;;;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;1,010;922;6,879;5,618;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;32;31;952;911;;
;Asociado;4;;;;;
ESMERALDAS;Solo;59;59;63;42;;
;Asociado;;;;;;
GUAYAS;Solo;134;134;1,412;1,339;;
;Asociado;;;;;;
LOS RÍOS;Solo;133;133;497;418;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;286;238;1,978;517;;
;Asociado;40;39;312;47;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;75;37;239;110;;
;Asociado;32;23;66;25;;
SUCUMBÍOS;Solo;407;364;625;298;;
;Asociado;53;53;148;76;;
ZAMORA CHINCHIPE;Solo;38;17;31;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;
