Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;202,225;157,204;2,651,973;1,884,755;;
REGIÓN SIERRA;;11,660;7,095;139,702;110,160;;
REGIÓN COSTA;;140,037;115,601;1,929,723;1,488,926;;
REGIÓN AMAZÓNICA;;50,528;34,508;582,548;285,669;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;;;;;;
BOLÍVAR;Solo;588;61;1,800;1,800;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo;1,070;1,070;36,087;6,545;;
;Asociado;;;;;;
CHIMBORAZO;Solo;;;;;;
;Asociado;;;;;;
IMBABURA;Solo;1,127;589;9,272;9,272;;
;Asociado;154;36;85;85;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo;4,143;1,958;14,633;14,633;;
;Asociado;27;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;4,350;3,254;77,149;77,149;;
;Asociado;200;127;675;675;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;359;269;6,851;6,851;;
;Asociado;;;;;;
ESMERALDAS;Solo;70,603;56,274;898,632;469,505;;
;Asociado;938;;;;;
GUAYAS;Solo;14,250;11,657;239,379;227,710;;
;Asociado;;;;;;
LOS RÍOS;Solo;48,380;42,255;745,139;745,139;;
;Asociado;1,450;1,238;13,306;13,306;;
MANABÍ;Solo;3,842;3,692;24,793;24,793;;
;Asociado;216;216;1,622;1,622;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;13,674;9,205;105,752;105,752;;
;Asociado;;;;;;
PASTAZA;Solo;2;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;35,346;24,775;468,163;171,284;;
;Asociado;1,505;528;8,633;8,633;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;
